frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1023.5682983398438), np.float64(849.30224609375))","(np.float64(975.862060546875), np.float64(888.2659912109375))","(np.float64(1033.897216796875), np.float64(860.8451538085938))","(np.float64(973.6435546875), np.float64(900.3821411132812))","(np.float64(1045.9208984375), np.float64(877.1705322265625))","(np.float64(973.663818359375), np.float64(922.5443725585938))","(np.float64(1059.623291015625), np.float64(896.9752807617188))","(np.float64(983.6417236328125), np.float64(948.4263916015625))","(np.float64(1083.847412109375), np.float64(918.880615234375))","(np.float64(997.677490234375), np.float64(974.4020385742188))"
1,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1015.9716186523438), np.float64(853.2421264648438))","(np.float64(969.5408325195312), np.float64(889.3773803710938))","(np.float64(1026.066650390625), np.float64(863.4716186523438))","(np.float64(965.3323364257812), np.float64(901.6978149414062))","(np.float64(1037.9215087890625), np.float64(881.1709594726562))","(np.float64(965.2965698242188), np.float64(923.5422973632812))","(np.float64(1049.80322265625), np.float64(901.2200927734375))","(np.float64(973.3848266601562), np.float64(949.447998046875))","(np.float64(1074.130126953125), np.float64(923.302001953125))","(np.float64(987.7028198242188), np.float64(975.7283325195312))"
2,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1001.8273315429688), np.float64(864.4297485351562))","(np.float64(953.9091186523438), np.float64(896.8248901367188))","(np.float64(1009.7520141601562), np.float64(876.59228515625))","(np.float64(948.1455078125), np.float64(907.3856811523438))","(np.float64(1019.92626953125), np.float64(894.3682250976562))","(np.float64(948.007568359375), np.float64(929.455078125))","(np.float64(1029.760498046875), np.float64(916.3906860351562))","(np.float64(955.85693359375), np.float64(957.0040893554688))","(np.float64(1051.7757568359375), np.float64(940.5443115234375))","(np.float64(969.8618774414062), np.float64(983.2069702148438))"
3,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1000.5159912109375), np.float64(862.9916381835938))","(np.float64(950.6768798828125), np.float64(896.4254150390625))","(np.float64(1008.40478515625), np.float64(876.6878051757812))","(np.float64(944.8539428710938), np.float64(907.06591796875))","(np.float64(1018.4840087890625), np.float64(894.4982299804688))","(np.float64(944.77294921875), np.float64(929.0504760742188))","(np.float64(1028.38671875), np.float64(916.5089721679688))","(np.float64(952.509765625), np.float64(956.5916137695312))","(np.float64(1048.5048828125), np.float64(940.8260498046875))","(np.float64(964.8744506835938), np.float64(984.54296875))"
4,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1007.8182373046875), np.float64(861.6445922851562))","(np.float64(955.4171142578125), np.float64(893.0556640625))","(np.float64(1015.8836669921875), np.float64(873.9651489257812))","(np.float64(949.5123291015625), np.float64(905.1692504882812))","(np.float64(1025.9111328125), np.float64(891.8436889648438))","(np.float64(949.4111328125), np.float64(927.1092529296875))","(np.float64(1035.9202880859375), np.float64(915.5185546875))","(np.float64(957.1866455078125), np.float64(953.166259765625))","(np.float64(1055.9132080078125), np.float64(937.9337158203125))","(np.float64(971.2123413085938), np.float64(981.3975219726562))"
5,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1012.8810424804688), np.float64(853.7569580078125))","(np.float64(963.7234497070312), np.float64(889.052490234375))","(np.float64(1021.1223754882812), np.float64(865.8448486328125))","(np.float64(959.4812622070312), np.float64(901.27734375))","(np.float64(1032.9603271484375), np.float64(882.0613403320312))","(np.float64(959.4506225585938), np.float64(921.656982421875))","(np.float64(1044.775390625), np.float64(903.82275390625))","(np.float64(967.4217529296875), np.float64(949.1488037109375))","(np.float64(1067.1497802734375), np.float64(926.182373046875))","(np.float64(981.7380981445312), np.float64(977.2463989257812))"
6,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1015.5684814453125), np.float64(853.1978149414062))","(np.float64(967.8756103515625), np.float64(889.4428100585938))","(np.float64(1025.5911865234375), np.float64(863.5735473632812))","(np.float64(962.09912109375), np.float64(901.756103515625))","(np.float64(1037.4749755859375), np.float64(881.082763671875))","(np.float64(962.1603393554688), np.float64(923.5826416015625))","(np.float64(1049.3697509765625), np.float64(901.0791015625))","(np.float64(971.7606811523438), np.float64(949.5208129882812))","(np.float64(1073.525634765625), np.float64(925.0686645507812))","(np.float64(987.7108154296875), np.float64(977.4951171875))"
7,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1012.4932250976562), np.float64(856.4336547851562))","(np.float64(965.7764282226562), np.float64(891.9971313476562))","(np.float64(1022.5220947265625), np.float64(866.8582763671875))","(np.float64(959.9403076171875), np.float64(904.1663208007812))","(np.float64(1034.5673828125), np.float64(884.5443115234375))","(np.float64(959.8626708984375), np.float64(926.0889282226562))","(np.float64(1048.2755126953125), np.float64(904.5450439453125))","(np.float64(967.8533325195312), np.float64(952.10107421875))","(np.float64(1070.625), np.float64(926.7789306640625))","(np.float64(983.8932495117188), np.float64(978.3553466796875))"
8,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1006.9940185546875), np.float64(860.255126953125))","(np.float64(958.000732421875), np.float64(895.82958984375))","(np.float64(1015.1295166015625), np.float64(872.3447875976562))","(np.float64(952.1614990234375), np.float64(907.9144897460938))","(np.float64(1028.6419677734375), np.float64(890.0872802734375))","(np.float64(952.080078125), np.float64(928.4803466796875))","(np.float64(1040.783447265625), np.float64(911.8697509765625))","(np.float64(959.9522705078125), np.float64(955.9630126953125))","(np.float64(1062.9046630859375), np.float64(933.8602294921875))","(np.float64(974.2284545898438), np.float64(982.2559814453125))"
9,0,labels_v001_016_08_19_21_ Set 1_ Cage B_ 2_Virgin_sub2_241_250_analysis,"(np.float64(1005.6507568359375), np.float64(860.1351318359375))","(np.float64(956.746826171875), np.float64(893.6676635742188))","(np.float64(1013.8001098632812), np.float64(872.2562255859375))","(np.float64(950.8313598632812), np.float64(905.727294921875))","(np.float64(1025.6295166015625), np.float64(890.1073608398438))","(np.float64(949.0285034179688), np.float64(926.274658203125))","(np.float64(1037.649658203125), np.float64(911.9689331054688))","(np.float64(956.7703247070312), np.float64(953.804443359375))","(np.float64(1059.57666015625), np.float64(932.384521484375))","(np.float64(970.8426513671875), np.float64(981.9390258789062))"
