frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(894.5000610351562, 1051.8564453125)","(879.7665405273438, 969.02001953125)","(908.2693481445312, 1059.9613037109375)","(875.9479370117188, 987.7276000976562)","(928.2188110351562, 1065.9569091796875)","(881.9984130859375, 1015.903564453125)","(952.2372436523438, 1071.771240234375)","(895.9191284179688, 1039.72314453125)","(974.515380859375, 1075.5845947265625)","(904.01171875, 1051.0447998046875)"
1,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(894.5265502929688, 1052.0592041015625)","(879.7665405273438, 969.02001953125)","(908.271728515625, 1060.1602783203125)","(875.9479370117188, 987.7276000976562)","(928.2335815429688, 1066.1689453125)","(881.9984130859375, 1015.903564453125)","(952.2484741210938, 1072.0078125)","(895.9191284179688, 1039.72314453125)","(974.5296020507812, 1075.799560546875)","(904.01171875, 1051.0447998046875)"
2,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(894.585205078125, 1052.07763671875)","(879.7665405273438, 969.02001953125)","(908.3289794921875, 1060.1656494140625)","(875.9479370117188, 987.7276000976562)","(928.295654296875, 1066.1552734375)","(881.9984130859375, 1015.903564453125)","(952.3212890625, 1071.974365234375)","(895.9191284179688, 1039.72314453125)","(974.5969848632812, 1075.8092041015625)","(904.01171875, 1051.0447998046875)"
3,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(894.5333251953125, 1052.522216796875)","(879.7665405273438, 969.02001953125)","(908.232421875, 1060.572998046875)","(875.9479370117188, 987.7276000976562)","(928.2141723632812, 1066.5711669921875)","(881.9984130859375, 1015.903564453125)","(952.2503662109375, 1072.372802734375)","(895.9191284179688, 1039.72314453125)","(974.5214233398438, 1076.2796630859375)","(904.01171875, 1051.0447998046875)"
4,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(894.5958251953125, 1052.9176025390625)","(879.7665405273438, 969.02001953125)","(908.279541015625, 1060.9989013671875)","(875.9479370117188, 987.7276000976562)","(928.2155151367188, 1066.9820556640625)","(881.9984130859375, 1015.903564453125)","(952.3126831054688, 1072.729736328125)","(895.9191284179688, 1039.72314453125)","(974.5994873046875, 1076.6929931640625)","(904.01171875, 1051.0447998046875)"
5,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(894.9169311523438, 1052.96923828125)","(879.7665405273438, 969.02001953125)","(908.6035766601562, 1061.0904541015625)","(875.9479370117188, 987.7276000976562)","(928.4837036132812, 1067.0496826171875)","(881.9984130859375, 1015.903564453125)","(952.5736083984375, 1072.7708740234375)","(895.9191284179688, 1039.72314453125)","(974.85693359375, 1076.76904296875)","(904.01171875, 1051.0447998046875)"
6,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(895.1196899414062, 1054.5921630859375)","(879.7665405273438, 969.02001953125)","(908.8215942382812, 1062.7042236328125)","(875.9479370117188, 987.7276000976562)","(928.7208251953125, 1068.7724609375)","(881.9984130859375, 1015.903564453125)","(952.8444213867188, 1072.873779296875)","(895.9191284179688, 1039.72314453125)","(975.172119140625, 1076.940673828125)","(904.01171875, 1051.0447998046875)"
7,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(895.1615600585938, 1054.6217041015625)","(879.7665405273438, 969.02001953125)","(908.866943359375, 1062.7239990234375)","(875.9479370117188, 987.7276000976562)","(928.77587890625, 1068.78564453125)","(881.9984130859375, 1015.903564453125)","(952.8916015625, 1072.900146484375)","(895.9191284179688, 1039.72314453125)","(975.1604614257812, 1077.0501708984375)","(904.01171875, 1051.0447998046875)"
8,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(895.1558227539062, 1054.6148681640625)","(879.7665405273438, 969.02001953125)","(908.8587036132812, 1062.7181396484375)","(875.9479370117188, 987.7276000976562)","(928.7688598632812, 1068.771240234375)","(881.9984130859375, 1015.903564453125)","(952.882568359375, 1072.8865966796875)","(895.9191284179688, 1039.72314453125)","(975.156982421875, 1077.049072265625)","(904.01171875, 1051.0447998046875)"
9,1,labels_v001_149_09_07_21_ Cage 4_ 2_Mated_sub0_130_135_analysis,"(895.3578491210938, 1054.830322265625)","(879.7665405273438, 969.02001953125)","(909.1229248046875, 1062.8424072265625)","(875.9479370117188, 987.7276000976562)","(929.0172729492188, 1068.84228515625)","(881.9984130859375, 1015.903564453125)","(953.1133422851562, 1072.96533203125)","(895.9191284179688, 1039.72314453125)","(975.3710327148438, 1077.216796875)","(904.01171875, 1051.0447998046875)"
