frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
10,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(917.5413818359375), np.float64(904.0006103515625))","(np.float64(985.517333984375), np.float64(922.8290405273438))","(np.float64(911.1710205078125), np.float64(916.0574340820312))","(np.float64(993.80615234375), np.float64(936.553466796875))","(np.float64(909.4176635742188), np.float64(938.410400390625))","(np.float64(1007.7960205078125), np.float64(952.6588745117188))","(np.float64(921.095947265625), np.float64(964.1412353515625))","(np.float64(1021.4181518554688), np.float64(972.576416015625))","(np.float64(943.4208984375), np.float64(990.4083251953125))","(np.float64(1043.5072021484375), np.float64(990.92822265625))"
11,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(914.9845581054688), np.float64(904.9307861328125))","(np.float64(982.0385131835938), np.float64(927.7010498046875))","(np.float64(907.2556762695312), np.float64(916.94189453125))","(np.float64(990.0364990234375), np.float64(939.9578857421875))","(np.float64(905.381591796875), np.float64(939.3099975585938))","(np.float64(1002.2825317382812), np.float64(957.9058227539062))","(np.float64(916.9739990234375), np.float64(965.0822143554688))","(np.float64(1015.8923950195312), np.float64(979.7434692382812))","(np.float64(939.2369995117188), np.float64(991.2809448242188))","(np.float64(1035.8956298828125), np.float64(997.8527221679688))"
12,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(915.1364135742188), np.float64(904.6839599609375))","(np.float64(984.63134765625), np.float64(929.856201171875))","(np.float64(907.410400390625), np.float64(916.7078857421875))","(np.float64(992.6057739257812), np.float64(943.6094360351562))","(np.float64(907.0020751953125), np.float64(939.0606079101562))","(np.float64(1004.77783203125), np.float64(961.6067504882812))","(np.float64(917.1204833984375), np.float64(964.7787475585938))","(np.float64(1016.4339599609375), np.float64(983.5419921875))","(np.float64(939.405517578125), np.float64(990.9236450195312))","(np.float64(1036.427001953125), np.float64(1003.5340576171875))"
13,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(912.4193115234375), np.float64(906.6118774414062))","(np.float64(982.5838012695312), np.float64(933.6072998046875))","(np.float64(906.0728759765625), np.float64(917.6041870117188))","(np.float64(990.5484619140625), np.float64(947.42822265625))","(np.float64(904.361328125), np.float64(941.7777099609375))","(np.float64(1002.3378295898438), np.float64(965.63330078125))","(np.float64(916.2108764648438), np.float64(967.619873046875))","(np.float64(1012.3563232421875), np.float64(987.5820922851562))","(np.float64(938.20849609375), np.float64(992.0751342773438))","(np.float64(1030.495361328125), np.float64(1007.9619140625))"
14,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(910.078369140625), np.float64(907.6243286132812))","(np.float64(979.3972778320312), np.float64(931.7433471679688))","(np.float64(902.2129516601562), np.float64(917.9371948242188))","(np.float64(987.27880859375), np.float64(945.8600463867188))","(np.float64(900.4025268554688), np.float64(942.0050659179688))","(np.float64(995.224853515625), np.float64(967.496826171875))","(np.float64(912.1571044921875), np.float64(967.87841796875))","(np.float64(1001.2190551757812), np.float64(988.0309448242188))","(np.float64(932.4004516601562), np.float64(993.923828125))","(np.float64(1015.268798828125), np.float64(1011.8634033203125))"
15,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(901.9453125), np.float64(908.409912109375))","(np.float64(971.482421875), np.float64(927.731689453125))","(np.float64(895.4630126953125), np.float64(918.7626342773438))","(np.float64(977.4998168945312), np.float64(941.9641723632812))","(np.float64(891.9408569335938), np.float64(942.6318359375))","(np.float64(979.2944946289062), np.float64(963.7118530273438))","(np.float64(901.580810546875), np.float64(968.6316528320312))","(np.float64(977.36181640625), np.float64(987.8037719726562))","(np.float64(925.5455932617188), np.float64(996.7400512695312))","(np.float64(981.3919677734375), np.float64(1013.8690185546875))"
16,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(907.2755737304688), np.float64(907.85009765625))","(np.float64(973.0782470703125), np.float64(927.8025512695312))","(np.float64(899.46337890625), np.float64(918.7724609375))","(np.float64(976.861328125), np.float64(945.6272583007812))","(np.float64(898.94140625), np.float64(942.980224609375))","(np.float64(972.9682006835938), np.float64(965.7752685546875))","(np.float64(909.0494995117188), np.float64(968.8413696289062))","(np.float64(964.9892578125), np.float64(985.6934814453125))","(np.float64(929.3375854492188), np.float64(993.317626953125))","(np.float64(959.1895751953125), np.float64(1017.6964111328125))"
17,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(910.552490234375), np.float64(907.2105712890625))","(np.float64(971.2913818359375), np.float64(935.7290649414062))","(np.float64(902.699462890625), np.float64(918.1505126953125))","(np.float64(972.87841796875), np.float64(953.4534912109375))","(np.float64(900.8982543945312), np.float64(942.3878173828125))","(np.float64(963.0903930664062), np.float64(973.2547607421875))","(np.float64(912.5753173828125), np.float64(968.2845458984375))","(np.float64(950.99072265625), np.float64(989.4130249023438))","(np.float64(932.5664672851562), np.float64(992.5108642578125))","(np.float64(939.0771484375), np.float64(1017.4366455078125))"
18,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(910.5828247070312), np.float64(906.9400634765625))","(np.float64(974.2777099609375), np.float64(949.60791015625))","(np.float64(902.6380004882812), np.float64(917.8287963867188))","(np.float64(971.8349609375), np.float64(965.4795532226562))","(np.float64(902.1651000976562), np.float64(942.0647583007812))","(np.float64(955.7987670898438), np.float64(981.48779296875))","(np.float64(912.2999877929688), np.float64(967.9518432617188))","(np.float64(935.9163818359375), np.float64(991.1921997070312))","(np.float64(932.2433471679688), np.float64(992.1432495117188))","(np.float64(915.8023071289062), np.float64(1017.2611083984375))"
19,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(907.666015625), np.float64(907.12451171875))","(np.float64(976.31982421875), np.float64(948.5516967773438))","(np.float64(901.1939086914062), np.float64(918.0201416015625))","(np.float64(974.370361328125), np.float64(963.0213012695312))","(np.float64(899.2154541015625), np.float64(942.1578369140625))","(np.float64(960.3508911132812), np.float64(980.7630615234375))","(np.float64(909.177978515625), np.float64(968.1242065429688))","(np.float64(943.9550170898438), np.float64(992.6690063476562))","(np.float64(929.2974853515625), np.float64(994.3788452148438))","(np.float64(925.5353088378906), np.float64(1011.71435546875))"
20,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(908.1808471679688), np.float64(907.4373779296875))","(np.float64(978.8894653320312), np.float64(934.6605834960938))","(np.float64(901.7661743164062), np.float64(918.2979736328125))","(np.float64(976.938232421875), np.float64(950.6055908203125))","(np.float64(900.021240234375), np.float64(942.5946655273438))","(np.float64(965.02783203125), np.float64(970.0767211914062))","(np.float64(911.8511962890625), np.float64(968.4783325195312))","(np.float64(948.937744140625), np.float64(984.2237548828125))","(np.float64(931.88720703125), np.float64(996.4688110351562))","(np.float64(935.268310546875), np.float64(1006.1676025390625))"
21,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(915.869140625), np.float64(904.4334106445312))","(np.float64(970.3975830078125), np.float64(939.2384643554688))","(np.float64(909.6277465820312), np.float64(914.9280395507812))","(np.float64(970.2442016601562), np.float64(955.0841674804688))","(np.float64(907.6483764648438), np.float64(938.7781372070312))","(np.float64(962.1680908203125), np.float64(973.0660400390625))","(np.float64(917.429931640625), np.float64(964.592529296875))","(np.float64(948.1239013671875), np.float64(988.8255615234375))","(np.float64(939.570556640625), np.float64(990.755126953125))","(np.float64(942.1600952148438), np.float64(1012.992919921875))"
22,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(926.5889892578125), np.float64(900.6095581054688))","(np.float64(994.9879150390625), np.float64(945.5665283203125))","(np.float64(920.4176635742188), np.float64(912.6395874023438))","(np.float64(992.7877197265625), np.float64(961.52685546875))","(np.float64(920.1942749023438), np.float64(935.088134765625))","(np.float64(982.738525390625), np.float64(979.4644165039062))","(np.float64(932.09033203125), np.float64(960.7401733398438))","(np.float64(968.689697265625), np.float64(995.59521484375))","(np.float64(953.9815673828125), np.float64(984.9667358398438))","(np.float64(954.8529052734375), np.float64(1021.6580810546875))"
23,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(928.75048828125), np.float64(899.970458984375))","(np.float64(1007.1519775390625), np.float64(945.897705078125))","(np.float64(921.1605224609375), np.float64(911.9927368164062))","(np.float64(1003.3653564453125), np.float64(961.9857177734375))","(np.float64(920.9586181640625), np.float64(934.3656005859375))","(np.float64(991.4757080078125), np.float64(979.8594360351562))","(np.float64(932.7529296875), np.float64(960.0792236328125))","(np.float64(977.1953735351562), np.float64(995.998291015625))","(np.float64(954.8941650390625), np.float64(984.4929809570312))","(np.float64(959.1808471679688), np.float64(1020.15869140625))"
24,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(908.1134643554688), np.float64(904.5881958007812))","(np.float64(981.948974609375), np.float64(958.6647338867188))","(np.float64(900.5781860351562), np.float64(916.9114990234375))","(np.float64(977.8924560546875), np.float64(974.6126708984375))","(np.float64(898.322509765625), np.float64(938.9141845703125))","(np.float64(961.907958984375), np.float64(988.7095947265625))","(np.float64(908.1696166992188), np.float64(964.6000366210938))","(np.float64(943.7806396484375), np.float64(1000.5112915039062))","(np.float64(926.2239379882812), np.float64(992.708251953125))","(np.float64(921.7149658203125), np.float64(1018.7510375976562))"
25,1,labels_v001_183_09_14_21_ Cage Kal_ 3_Mated_sub2_367_378_analysis,"(np.float64(900.9095458984375), np.float64(904.8291015625))","(np.float64(965.35107421875), np.float64(969.5894165039062))","(np.float64(893.1082763671875), np.float64(917.2824096679688))","(np.float64(959.0278930664062), np.float64(983.5413208007812))","(np.float64(889.279052734375), np.float64(939.193359375))","(np.float64(939.2113037109375), np.float64(995.32763671875))","(np.float64(896.86865234375), np.float64(964.8872680664062))","(np.float64(918.9531860351562), np.float64(997.9161987304688))","(np.float64(915.1499633789062), np.float64(993.2089233398438))","(np.float64(891.3048706054688), np.float64(1015.7434692382812))"
