frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(833.3629150390625), np.float64(925.6478271484375))","(np.float64(910.5818481445312), np.float64(952.2600708007812))","(np.float64(831.3063354492188), np.float64(939.7855224609375))","(np.float64(914.5618286132812), np.float64(965.9627075195312))","(np.float64(837.085205078125), np.float64(961.643310546875))","(np.float64(912.5845336914062), np.float64(985.9310913085938))","(np.float64(853.177490234375), np.float64(983.6031494140625))","(np.float64(908.5391845703125), np.float64(1007.9295654296875))","(np.float64(875.0741577148438), np.float64(997.5795288085938))","(np.float64(904.49951171875), np.float64(1031.9617919921875))"
1,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(837.3838500976562), np.float64(923.8120727539062))","(np.float64(912.7727661132812), np.float64(944.4004516601562))","(np.float64(835.62451171875), np.float64(938.0358276367188))","(np.float64(918.6192626953125), np.float64(956.645263671875))","(np.float64(841.6917724609375), np.float64(959.8089599609375))","(np.float64(918.6754150390625), np.float64(976.7086791992188))","(np.float64(859.4290771484375), np.float64(979.8175048828125))","(np.float64(920.3626098632812), np.float64(1000.3004150390625))","(np.float64(879.6320190429688), np.float64(994.0739135742188))","(np.float64(918.5751953125), np.float64(1022.4305419921875))"
2,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(838.48828125), np.float64(924.0626831054688))","(np.float64(910.5264282226562), np.float64(936.5010986328125))","(np.float64(836.8167724609375), np.float64(938.2174072265625))","(np.float64(918.5003662109375), np.float64(950.0033569335938))","(np.float64(842.8024291992188), np.float64(959.989013671875))","(np.float64(924.0817260742188), np.float64(969.937744140625))","(np.float64(860.416259765625), np.float64(980.0230712890625))","(np.float64(928.058837890625), np.float64(990.5711669921875))","(np.float64(880.7250366210938), np.float64(994.2748413085938))","(np.float64(932.4381103515625), np.float64(1015.9702758789062))"
3,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(834.3734130859375), np.float64(924.8120727539062))","(np.float64(906.9172973632812), np.float64(937.7124633789062))","(np.float64(834.0051879882812), np.float64(938.9376220703125))","(np.float64(914.88427734375), np.float64(951.2118530273438))","(np.float64(839.8753662109375), np.float64(959.2670288085938))","(np.float64(920.4463500976562), np.float64(971.1366577148438))","(np.float64(856.0712280273438), np.float64(980.8936157226562))","(np.float64(924.433349609375), np.float64(991.796630859375))","(np.float64(877.8787841796875), np.float64(996.7972412109375))","(np.float64(930.4256591796875), np.float64(1015.6677856445312))"
4,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(832.5455322265625), np.float64(925.9036865234375))","(np.float64(905.57177734375), np.float64(941.4658203125))","(np.float64(830.5189819335938), np.float64(940.018798828125))","(np.float64(912.0061645507812), np.float64(955.0599975585938))","(np.float64(836.4415283203125), np.float64(962.0259399414062))","(np.float64(915.8644409179688), np.float64(975.0430297851562))","(np.float64(852.5599365234375), np.float64(983.8516845703125))","(np.float64(919.6566162109375), np.float64(995.7265625))","(np.float64(872.7007446289062), np.float64(998.0939331054688))","(np.float64(921.9263916015625), np.float64(1021.3259887695312))"
5,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(837.1809692382812), np.float64(923.168212890625))","(np.float64(909.1417236328125), np.float64(936.8878173828125))","(np.float64(835.4555053710938), np.float64(938.817626953125))","(np.float64(917.0792846679688), np.float64(950.4067993164062))","(np.float64(841.3271484375), np.float64(959.0826416015625))","(np.float64(921.15234375), np.float64(970.3326416015625))","(np.float64(857.2168579101562), np.float64(980.7797241210938))","(np.float64(924.8446044921875), np.float64(992.4215087890625))","(np.float64(879.1390380859375), np.float64(996.7329711914062))","(np.float64(930.8504638671875), np.float64(1016.655517578125))"
6,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(837.7944946289062), np.float64(922.611572265625))","(np.float64(910.0935668945312), np.float64(935.4697265625))","(np.float64(837.3820190429688), np.float64(938.192138671875))","(np.float64(918.19775390625), np.float64(947.3963012695312))","(np.float64(843.405517578125), np.float64(958.5894165039062))","(np.float64(923.7446899414062), np.float64(967.240234375))","(np.float64(859.5015258789062), np.float64(980.259521484375))","(np.float64(927.8026733398438), np.float64(989.243408203125))","(np.float64(881.3143310546875), np.float64(996.154296875))","(np.float64(932.1248168945312), np.float64(1013.6409912109375))"
7,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(833.985595703125), np.float64(923.9075927734375))","(np.float64(907.6495971679688), np.float64(933.8224487304688))","(np.float64(833.6091918945312), np.float64(939.4788818359375))","(np.float64(915.955322265625), np.float64(944.0655517578125))","(np.float64(837.9459838867188), np.float64(959.6925659179688))","(np.float64(921.8876342773438), np.float64(964.0360717773438))","(np.float64(853.6683959960938), np.float64(981.569580078125))","(np.float64(927.6510009765625), np.float64(987.6045532226562))","(np.float64(875.7534790039062), np.float64(997.5914306640625))","(np.float64(935.8641357421875), np.float64(1011.5112915039062))"
8,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(835.2486572265625), np.float64(925.7040405273438))","(np.float64(906.16845703125), np.float64(938.3416137695312))","(np.float64(833.2476196289062), np.float64(939.7349243164062))","(np.float64(913.8343505859375), np.float64(952.250732421875))","(np.float64(839.1235961914062), np.float64(961.7569580078125))","(np.float64(915.9017333984375), np.float64(972.4741821289062))","(np.float64(855.2560424804688), np.float64(983.5401611328125))","(np.float64(915.8374633789062), np.float64(996.1392822265625))","(np.float64(875.412353515625), np.float64(997.9322509765625))","(np.float64(918.14697265625), np.float64(1018.3489990234375))"
9,0,labels_v001_111_08_20_21_ Set 2_ Cage B_ 2_Virgin_sub6_492_522_analysis,"(np.float64(836.4193115234375), np.float64(923.3661499023438))","(np.float64(908.8128051757812), np.float64(942.8223266601562))","(np.float64(834.4466552734375), np.float64(938.889892578125))","(np.float64(914.7371826171875), np.float64(956.7553100585938))","(np.float64(840.3549194335938), np.float64(959.384033203125))","(np.float64(914.4287109375), np.float64(978.4649047851562))","(np.float64(856.4598388671875), np.float64(981.0355224609375))","(np.float64(912.334228515625), np.float64(1000.510986328125))","(np.float64(876.64306640625), np.float64(997.1456298828125))","(np.float64(912.389404296875), np.float64(1022.6484375))"
