frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
276,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.3328857421875), np.float64(891.5322265625))","(np.float64(988.251220703125), np.float64(912.42822265625))","(np.float64(917.4852294921875), np.float64(905.4503784179688))","(np.float64(990.3799438476562), np.float64(928.269287109375))","(np.float64(919.6702880859375), np.float64(927.7211303710938))","(np.float64(980.1692504882812), np.float64(946.4575805664062))","(np.float64(929.3731079101562), np.float64(951.6005859375))","(np.float64(964.2257690429688), np.float64(960.3889770507812))","(np.float64(943.4751586914062), np.float64(971.5169067382812))","(np.float64(944.263427734375), np.float64(970.7315673828125))"
277,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.2984619140625), np.float64(891.580810546875))","(np.float64(988.2483520507812), np.float64(912.4278564453125))","(np.float64(917.4583129882812), np.float64(905.5089721679688))","(np.float64(990.3646240234375), np.float64(928.2838745117188))","(np.float64(919.6588745117188), np.float64(927.7389526367188))","(np.float64(980.151611328125), np.float64(946.472412109375))","(np.float64(929.3740234375), np.float64(951.6112060546875))","(np.float64(964.2009887695312), np.float64(960.3992309570312))","(np.float64(943.4735717773438), np.float64(971.5116577148438))","(np.float64(944.248291015625), np.float64(970.7305908203125))"
278,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.34130859375), np.float64(891.5518188476562))","(np.float64(988.276123046875), np.float64(912.3917236328125))","(np.float64(917.5090942382812), np.float64(905.4463500976562))","(np.float64(990.3881225585938), np.float64(928.2626342773438))","(np.float64(919.6821899414062), np.float64(927.7197265625))","(np.float64(980.1690063476562), np.float64(946.4525146484375))","(np.float64(929.391845703125), np.float64(951.5912475585938))","(np.float64(964.2120971679688), np.float64(960.3754272460938))","(np.float64(943.4814453125), np.float64(971.4861450195312))","(np.float64(944.2639770507812), np.float64(970.699951171875))"
279,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.35888671875), np.float64(891.5909423828125))","(np.float64(988.2762451171875), np.float64(912.4419555664062))","(np.float64(917.5243530273438), np.float64(905.4913940429688))","(np.float64(990.38818359375), np.float64(928.3095092773438))","(np.float64(919.6937255859375), np.float64(927.7596435546875))","(np.float64(980.18115234375), np.float64(946.5026245117188))","(np.float64(929.4119262695312), np.float64(951.631103515625))","(np.float64(964.223388671875), np.float64(960.4151000976562))","(np.float64(943.5013427734375), np.float64(971.534423828125))","(np.float64(944.2642211914062), np.float64(970.7449951171875))"
280,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(924.1411743164062), np.float64(891.8479614257812))","(np.float64(988.3004150390625), np.float64(912.47900390625))","(np.float64(917.8328857421875), np.float64(905.8563232421875))","(np.float64(990.4102172851562), np.float64(928.3436279296875))","(np.float64(921.604736328125), np.float64(928.1175537109375))","(np.float64(980.1983642578125), np.float64(946.5401000976562))","(np.float64(931.6956787109375), np.float64(951.8490600585938))","(np.float64(964.2409057617188), np.float64(960.433349609375))","(np.float64(943.797607421875), np.float64(971.7600708007812))","(np.float64(944.2710571289062), np.float64(970.7738037109375))"
281,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.6028442382812), np.float64(891.8204956054688))","(np.float64(988.2626342773438), np.float64(912.3477172851562))","(np.float64(917.834716796875), np.float64(905.83203125))","(np.float64(990.3514404296875), np.float64(928.24609375))","(np.float64(921.6148071289062), np.float64(928.10205078125))","(np.float64(980.0802001953125), np.float64(946.375732421875))","(np.float64(931.6904907226562), np.float64(951.8414916992188))","(np.float64(964.16552734375), np.float64(960.27490234375))","(np.float64(943.825927734375), np.float64(971.735107421875))","(np.float64(944.2361450195312), np.float64(970.6517333984375))"
282,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.396728515625), np.float64(891.7171020507812))","(np.float64(988.2940063476562), np.float64(912.4697265625))","(np.float64(917.5753784179688), np.float64(905.611328125))","(np.float64(990.39892578125), np.float64(928.3441772460938))","(np.float64(919.749755859375), np.float64(927.8660888671875))","(np.float64(980.1788330078125), np.float64(946.531494140625))","(np.float64(929.4403686523438), np.float64(951.7442626953125))","(np.float64(964.2283325195312), np.float64(960.4242553710938))","(np.float64(943.6053466796875), np.float64(971.6243896484375))","(np.float64(944.312744140625), np.float64(970.7535400390625))"
283,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.6251220703125), np.float64(891.7964477539062))","(np.float64(988.2559204101562), np.float64(912.5234375))","(np.float64(917.8631591796875), np.float64(905.7994995117188))","(np.float64(990.3461303710938), np.float64(928.4067993164062))","(np.float64(921.6483764648438), np.float64(928.0775146484375))","(np.float64(980.130859375), np.float64(946.598876953125))","(np.float64(931.7113647460938), np.float64(951.8167114257812))","(np.float64(964.1793212890625), np.float64(960.4966430664062))","(np.float64(943.8780517578125), np.float64(971.7147216796875))","(np.float64(944.302978515625), np.float64(970.7959594726562))"
284,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.6196899414062), np.float64(891.754150390625))","(np.float64(988.3057250976562), np.float64(912.41796875))","(np.float64(917.8578491210938), np.float64(905.7593994140625))","(np.float64(990.4061279296875), np.float64(928.2946166992188))","(np.float64(921.6583862304688), np.float64(928.0504150390625))","(np.float64(980.185791015625), np.float64(946.47021484375))","(np.float64(931.7086181640625), np.float64(951.7886962890625))","(np.float64(964.240234375), np.float64(960.3693237304688))","(np.float64(943.8968505859375), np.float64(971.701416015625))","(np.float64(944.3644409179688), np.float64(970.7063598632812))"
285,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.6300659179688), np.float64(891.8068237304688))","(np.float64(988.3121337890625), np.float64(912.3991088867188))","(np.float64(917.8809814453125), np.float64(905.8204345703125))","(np.float64(990.421630859375), np.float64(928.2692260742188))","(np.float64(921.6651611328125), np.float64(928.09765625))","(np.float64(980.2169189453125), np.float64(946.4679565429688))","(np.float64(931.72900390625), np.float64(951.8316650390625))","(np.float64(964.2719116210938), np.float64(960.3648681640625))","(np.float64(943.9210205078125), np.float64(971.73974609375))","(np.float64(944.405517578125), np.float64(970.6972045898438))"
286,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(924.1900634765625), np.float64(891.8609619140625))","(np.float64(988.290771484375), np.float64(912.3953857421875))","(np.float64(917.89453125), np.float64(905.8690795898438))","(np.float64(990.4043579101562), np.float64(928.2631225585938))","(np.float64(921.6781005859375), np.float64(928.1282958984375))","(np.float64(980.1978759765625), np.float64(946.463134765625))","(np.float64(931.7515869140625), np.float64(951.8564453125))","(np.float64(964.2398071289062), np.float64(960.3593139648438))","(np.float64(943.9329223632812), np.float64(971.7501220703125))","(np.float64(944.3713989257812), np.float64(970.6914672851562))"
287,0,labels_v001_155_09_13_21_ Cage Wo_ 2_Virgin_sub1_236_254_analysis,"(np.float64(925.6328735351562), np.float64(891.7933349609375))","(np.float64(988.2850952148438), np.float64(912.4237060546875))","(np.float64(917.8753662109375), np.float64(905.7952880859375))","(np.float64(990.3974609375), np.float64(928.2888793945312))","(np.float64(921.6648559570312), np.float64(928.07666015625))","(np.float64(980.2015991210938), np.float64(946.5022583007812))","(np.float64(931.7326049804688), np.float64(951.8179321289062))","(np.float64(964.2467651367188), np.float64(960.4091796875))","(np.float64(943.9143676757812), np.float64(971.7124633789062))","(np.float64(944.3765258789062), np.float64(970.7243041992188))"
