frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(964.7267456054688), np.float64(880.9862670898438))","(np.float64(1048.01806640625), np.float64(886.8548583984375))","(np.float64(960.9652099609375), np.float64(893.4515380859375))","(np.float64(1057.6573486328125), np.float64(898.8682250976562))","(np.float64(965.1962890625), np.float64(917.2650146484375))","(np.float64(1062.082763671875), np.float64(917.3246459960938))","(np.float64(976.9081420898438), np.float64(941.06884765625))","(np.float64(1067.7767333984375), np.float64(941.00830078125))","(np.float64(994.9183349609375), np.float64(967.052978515625))","(np.float64(1071.9678955078125), np.float64(972.8619995117188))"
1,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(963.1672973632812), np.float64(881.0642700195312))","(np.float64(1048.05029296875), np.float64(886.955078125))","(np.float64(960.9822998046875), np.float64(894.9656982421875))","(np.float64(1057.6873779296875), np.float64(898.9583129882812))","(np.float64(965.2029418945312), np.float64(917.3102416992188))","(np.float64(1062.1087646484375), np.float64(917.41845703125))","(np.float64(976.923828125), np.float64(941.1172485351562))","(np.float64(1067.820068359375), np.float64(941.0991821289062))","(np.float64(994.92822265625), np.float64(967.1196899414062))","(np.float64(1072.034912109375), np.float64(972.9736938476562))"
2,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(963.1724243164062), np.float64(881.1290283203125))","(np.float64(1048.080078125), np.float64(887.0756225585938))","(np.float64(960.9833374023438), np.float64(895.0607299804688))","(np.float64(1057.7149658203125), np.float64(899.07568359375))","(np.float64(965.2008056640625), np.float64(917.3887329101562))","(np.float64(1062.1278076171875), np.float64(917.5355834960938))","(np.float64(976.9281005859375), np.float64(941.1785278320312))","(np.float64(1067.8450927734375), np.float64(941.2267456054688))","(np.float64(994.9249877929688), np.float64(967.190673828125))","(np.float64(1072.0814208984375), np.float64(973.1115112304688))"
3,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(964.7669677734375), np.float64(880.8765258789062))","(np.float64(1048.1170654296875), np.float64(886.814697265625))","(np.float64(960.9945678710938), np.float64(894.8272705078125))","(np.float64(1057.7254638671875), np.float64(898.8576049804688))","(np.float64(965.20654296875), np.float64(917.1637573242188))","(np.float64(1062.12939453125), np.float64(917.3242797851562))","(np.float64(976.915283203125), np.float64(940.9561767578125))","(np.float64(1067.8531494140625), np.float64(941.0138549804688))","(np.float64(994.9142456054688), np.float64(966.8854370117188))","(np.float64(1072.0921630859375), np.float64(972.8989868164062))"
4,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(964.7423095703125), np.float64(881.0734252929688))","(np.float64(1048.024658203125), np.float64(887.0233764648438))","(np.float64(960.9774169921875), np.float64(895.0208740234375))","(np.float64(1057.669677734375), np.float64(899.0276489257812))","(np.float64(965.1749267578125), np.float64(917.3453979492188))","(np.float64(1062.0797119140625), np.float64(917.4837646484375))","(np.float64(976.89501953125), np.float64(941.1470336914062))","(np.float64(1067.7899169921875), np.float64(941.1428833007812))","(np.float64(994.8558349609375), np.float64(967.0079956054688))","(np.float64(1072.03125), np.float64(971.5711059570312))"
5,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(963.1655883789062), np.float64(881.100341796875))","(np.float64(1048.072021484375), np.float64(887.1018676757812))","(np.float64(960.9998168945312), np.float64(895.0560302734375))","(np.float64(1057.72900390625), np.float64(899.1170043945312))","(np.float64(965.2196655273438), np.float64(917.3551635742188))","(np.float64(1062.146240234375), np.float64(917.5582275390625))","(np.float64(976.9429321289062), np.float64(941.146240234375))","(np.float64(1067.87109375), np.float64(941.2319946289062))","(np.float64(994.9437255859375), np.float64(967.181884765625))","(np.float64(1072.0843505859375), np.float64(971.6744384765625))"
6,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(964.8674926757812), np.float64(880.8338623046875))","(np.float64(1048.079345703125), np.float64(886.6722412109375))","(np.float64(961.0875854492188), np.float64(894.7791137695312))","(np.float64(1057.717529296875), np.float64(898.70068359375))","(np.float64(965.3214721679688), np.float64(917.1264038085938))","(np.float64(1062.1278076171875), np.float64(917.1435546875))","(np.float64(977.0189819335938), np.float64(940.9215087890625))","(np.float64(1067.8455810546875), np.float64(940.8408813476562))","(np.float64(995.0125732421875), np.float64(966.8492431640625))","(np.float64(1072.1412353515625), np.float64(972.68896484375))"
7,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(964.8504028320312), np.float64(880.9708251953125))","(np.float64(1048.094482421875), np.float64(886.9232177734375))","(np.float64(961.0721435546875), np.float64(894.9280395507812))","(np.float64(1057.739013671875), np.float64(898.9741821289062))","(np.float64(965.290771484375), np.float64(917.25048828125))","(np.float64(1062.146484375), np.float64(917.413818359375))","(np.float64(976.9921875), np.float64(941.0553588867188))","(np.float64(1067.8692626953125), np.float64(941.1019897460938))","(np.float64(994.9890747070312), np.float64(967.0244140625))","(np.float64(1072.1375732421875), np.float64(972.9593505859375))"
8,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(964.8370971679688), np.float64(881.13427734375))","(np.float64(1048.1265869140625), np.float64(887.2064208984375))","(np.float64(961.048828125), np.float64(895.1018676757812))","(np.float64(1057.7745361328125), np.float64(899.2951049804688))","(np.float64(965.2613525390625), np.float64(917.405029296875))","(np.float64(1062.1741943359375), np.float64(917.7259521484375))","(np.float64(976.9532470703125), np.float64(941.219970703125))","(np.float64(1067.8929443359375), np.float64(941.4209594726562))","(np.float64(994.9615478515625), np.float64(967.227294921875))","(np.float64(1072.1368408203125), np.float64(973.28173828125))"
9,2,labels_v001_053_08_20_21_ Set 1_ Cage A_ 1_Virgin_sub0_122_136_succesful_analysis,"(np.float64(964.8414306640625), np.float64(881.1427612304688))","(np.float64(1048.112548828125), np.float64(886.9796752929688))","(np.float64(961.0526123046875), np.float64(895.078125))","(np.float64(1057.74755859375), np.float64(899.0724487304688))","(np.float64(965.2838134765625), np.float64(917.423828125))","(np.float64(1062.1373291015625), np.float64(917.49169921875))","(np.float64(976.9727783203125), np.float64(941.240234375))","(np.float64(1067.850341796875), np.float64(941.1753540039062))","(np.float64(995.0276489257812), np.float64(967.2303466796875))","(np.float64(1072.081787109375), np.float64(973.0353393554688))"
