frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.2381591796875), np.float64(928.891845703125))","(np.float64(956.0052490234375), np.float64(962.4959106445312))","(np.float64(884.396240234375), np.float64(940.9489135742188))","(np.float64(952.1718139648438), np.float64(978.525146484375))","(np.float64(884.3565673828125), np.float64(965.0805053710938))","(np.float64(937.9736328125), np.float64(992.3894653320312))","(np.float64(892.15966796875), np.float64(988.986572265625))","(np.float64(919.8014526367188), np.float64(1004.1616821289062))","(np.float64(894.1416015625), np.float64(1013.2677001953125))","(np.float64(894.130615234375), np.float64(1014.390380859375))"
1,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.3153076171875), np.float64(928.905517578125))","(np.float64(956.0552978515625), np.float64(962.6332397460938))","(np.float64(884.4609375), np.float64(939.4234619140625))","(np.float64(952.1787109375), np.float64(978.6448974609375))","(np.float64(884.4010009765625), np.float64(965.0958862304688))","(np.float64(937.986328125), np.float64(992.5220947265625))","(np.float64(892.2177124023438), np.float64(989.0095825195312))","(np.float64(919.8150024414062), np.float64(1004.3237915039062))","(np.float64(894.2171020507812), np.float64(1013.3267211914062))","(np.float64(895.5960083007812), np.float64(1014.527587890625))"
2,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.318359375), np.float64(928.7556762695312))","(np.float64(955.95751953125), np.float64(962.3527221679688))","(np.float64(884.4804077148438), np.float64(939.2786865234375))","(np.float64(952.11376953125), np.float64(978.37548828125))","(np.float64(884.4267578125), np.float64(964.9379272460938))","(np.float64(937.9097900390625), np.float64(992.2310791015625))","(np.float64(892.2719116210938), np.float64(988.8651123046875))","(np.float64(919.7311401367188), np.float64(1004.0064086914062))","(np.float64(894.21240234375), np.float64(1013.1327514648438))","(np.float64(894.06787109375), np.float64(1014.2279052734375))"
3,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.2937622070312), np.float64(928.8930053710938))","(np.float64(955.8814697265625), np.float64(962.541748046875))","(np.float64(884.4783325195312), np.float64(939.4061889648438))","(np.float64(952.0250854492188), np.float64(978.546142578125))","(np.float64(884.4059448242188), np.float64(965.0781860351562))","(np.float64(937.8167724609375), np.float64(992.413818359375))","(np.float64(892.2288208007812), np.float64(989.0103759765625))","(np.float64(919.6327514648438), np.float64(1004.1826171875))","(np.float64(894.16796875), np.float64(1013.2750244140625))","(np.float64(893.968505859375), np.float64(1014.406494140625))"
4,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.27587890625), np.float64(929.159912109375))","(np.float64(955.869873046875), np.float64(962.688232421875))","(np.float64(884.4385375976562), np.float64(939.6837768554688))","(np.float64(951.9920654296875), np.float64(978.6980590820312))","(np.float64(884.383544921875), np.float64(965.3462524414062))","(np.float64(937.78271484375), np.float64(992.5603637695312))","(np.float64(892.1906127929688), np.float64(989.2705078125))","(np.float64(919.6094360351562), np.float64(1004.3214721679688))","(np.float64(894.1264038085938), np.float64(1013.4985961914062))","(np.float64(893.926513671875), np.float64(1014.5457763671875))"
5,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.2254638671875), np.float64(928.6304321289062))","(np.float64(955.8519897460938), np.float64(962.2701416015625))","(np.float64(884.3883056640625), np.float64(939.1435546875))","(np.float64(953.49169921875), np.float64(978.2213134765625))","(np.float64(884.3229370117188), np.float64(964.8214721679688))","(np.float64(937.7486572265625), np.float64(992.1148681640625))","(np.float64(892.1412963867188), np.float64(988.7353515625))","(np.float64(919.579345703125), np.float64(1003.9000244140625))","(np.float64(894.09228515625), np.float64(1013.057861328125))","(np.float64(893.9114379882812), np.float64(1014.1947021484375))"
6,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.2239379882812), np.float64(928.75341796875))","(np.float64(955.900390625), np.float64(964.0823364257812))","(np.float64(884.386962890625), np.float64(940.7993774414062))","(np.float64(953.5805053710938), np.float64(978.5006103515625))","(np.float64(884.3115234375), np.float64(964.9276123046875))","(np.float64(937.8328247070312), np.float64(992.39892578125))","(np.float64(892.1217651367188), np.float64(988.838134765625))","(np.float64(919.6671142578125), np.float64(1004.171875))","(np.float64(894.0711059570312), np.float64(1013.1685791015625))","(np.float64(893.9867553710938), np.float64(1014.4249877929688))"
7,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.212646484375), np.float64(928.6842651367188))","(np.float64(956.0056762695312), np.float64(962.4346923828125))","(np.float64(884.3778076171875), np.float64(940.7142944335938))","(np.float64(952.1676025390625), np.float64(978.421875))","(np.float64(884.2984619140625), np.float64(964.8552856445312))","(np.float64(937.9432983398438), np.float64(992.2890625))","(np.float64(892.1343383789062), np.float64(988.7799682617188))","(np.float64(919.7694091796875), np.float64(1004.08203125))","(np.float64(894.121337890625), np.float64(1013.1062622070312))","(np.float64(894.0948486328125), np.float64(1014.3285522460938))"
8,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.1961059570312), np.float64(928.5905151367188))","(np.float64(956.162841796875), np.float64(962.3050537109375))","(np.float64(884.3856201171875), np.float64(939.118408203125))","(np.float64(952.304931640625), np.float64(978.2821655273438))","(np.float64(884.3536987304688), np.float64(964.7603149414062))","(np.float64(938.1126708984375), np.float64(992.1643676757812))","(np.float64(892.1251220703125), np.float64(988.6817626953125))","(np.float64(919.9360961914062), np.float64(1003.9679565429688))","(np.float64(894.1279296875), np.float64(1013.0720825195312))","(np.float64(894.2884521484375), np.float64(1014.2738647460938))"
9,1,labels_v001_080_08_20_21_ Set 2_ Cage A_ 1_Mated_sub13_295_297_analysis,"(np.float64(892.0593872070312), np.float64(928.8082275390625))","(np.float64(956.2258911132812), np.float64(962.4301147460938))","(np.float64(884.2876586914062), np.float64(939.3484497070312))","(np.float64(952.3995361328125), np.float64(978.442626953125))","(np.float64(884.21533203125), np.float64(964.9856567382812))","(np.float64(938.2032470703125), np.float64(992.342041015625))","(np.float64(891.9710083007812), np.float64(988.9006958007812))","(np.float64(920.02685546875), np.float64(1004.131103515625))","(np.float64(894.0054321289062), np.float64(1013.2816162109375))","(np.float64(894.3519897460938), np.float64(1014.43994140625))"
