frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(927.7964477539062), np.float64(916.4205322265625))","(np.float64(988.45556640625), np.float64(975.5208129882812))","(np.float64(923.5670776367188), np.float64(930.578857421875))","(np.float64(988.7318725585938), np.float64(991.0865478515625))","(np.float64(921.4520874023438), np.float64(950.4924926757812))","(np.float64(984.5884399414062), np.float64(1009.6907958984375))","(np.float64(923.3765869140625), np.float64(976.4092407226562))","(np.float64(976.5781860351562), np.float64(1033.29248046875))","(np.float64(927.7763671875), np.float64(1004.7210693359375))","(np.float64(970.7576293945312), np.float64(1059.4849853515625))"
1,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(929.5250854492188), np.float64(916.9471435546875))","(np.float64(985.9998779296875), np.float64(974.866943359375))","(np.float64(923.7130737304688), np.float64(931.0879516601562))","(np.float64(988.0587158203125), np.float64(988.9899291992188))","(np.float64(921.540771484375), np.float64(950.9906616210938))","(np.float64(985.6558837890625), np.float64(1009.0552978515625))","(np.float64(923.523681640625), np.float64(976.90283203125))","(np.float64(979.6272583007812), np.float64(1032.805419921875))","(np.float64(929.4171752929688), np.float64(1005.3331298828125))","(np.float64(973.800048828125), np.float64(1059.0980224609375))"
2,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(930.3991088867188), np.float64(916.5333862304688))","(np.float64(986.5794067382812), np.float64(971.641845703125))","(np.float64(924.5698852539062), np.float64(930.3804931640625))","(np.float64(988.763671875), np.float64(985.824951171875))","(np.float64(922.4122924804688), np.float64(950.4788818359375))","(np.float64(986.4581298828125), np.float64(1005.9024047851562))","(np.float64(924.1883544921875), np.float64(976.4852294921875))","(np.float64(980.4794311523438), np.float64(1029.59423828125))","(np.float64(930.4752807617188), np.float64(1004.75341796875))","(np.float64(974.6206665039062), np.float64(1055.9935302734375))"
3,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(930.6653442382812), np.float64(916.2235717773438))","(np.float64(987.3748779296875), np.float64(969.1593017578125))","(np.float64(924.8004150390625), np.float64(928.647216796875))","(np.float64(989.7035522460938), np.float64(984.7362060546875))","(np.float64(922.619873046875), np.float64(950.1689453125))","(np.float64(987.4963989257812), np.float64(1004.9498901367188))","(np.float64(924.3988647460938), np.float64(976.1950073242188))","(np.float64(983.4742431640625), np.float64(1028.8546142578125))","(np.float64(930.753173828125), np.float64(1004.4021606445312))","(np.float64(977.2940063476562), np.float64(1055.165771484375))"
4,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(930.214599609375), np.float64(916.8508911132812))","(np.float64(985.5607299804688), np.float64(971.4393310546875))","(np.float64(924.492919921875), np.float64(930.7532958984375))","(np.float64(989.3064575195312), np.float64(985.5175170898438))","(np.float64(922.3380737304688), np.float64(950.7752685546875))","(np.float64(985.5963134765625), np.float64(1005.63916015625))","(np.float64(924.092041015625), np.float64(976.8005981445312))","(np.float64(981.306640625), np.float64(1029.3482666015625))","(np.float64(930.37109375), np.float64(1005.0389404296875))","(np.float64(975.5863037109375), np.float64(1057.3446044921875))"
5,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(926.5804443359375), np.float64(916.9642944335938))","(np.float64(983.2268676757812), np.float64(975.5723266601562))","(np.float64(920.8926391601562), np.float64(931.0953369140625))","(np.float64(985.2733154296875), np.float64(989.6188354492188))","(np.float64(918.6342163085938), np.float64(951.06201171875))","(np.float64(979.4898681640625), np.float64(1011.528564453125))","(np.float64(920.4783935546875), np.float64(977.004150390625))","(np.float64(973.1541748046875), np.float64(1035.4468994140625))","(np.float64(926.6004638671875), np.float64(1005.3482666015625))","(np.float64(969.0751953125), np.float64(1059.4935302734375))"
6,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(926.9791259765625), np.float64(916.4714965820312))","(np.float64(983.3448486328125), np.float64(977.6563110351562))","(np.float64(922.5447998046875), np.float64(930.5369262695312))","(np.float64(983.3927001953125), np.float64(991.8314208984375))","(np.float64(918.789794921875), np.float64(950.4290161132812))","(np.float64(977.1983032226562), np.float64(1011.70751953125))","(np.float64(920.5861206054688), np.float64(976.3630981445312))","(np.float64(967.1702270507812), np.float64(1033.5218505859375))","(np.float64(928.647705078125), np.float64(1004.8060913085938))","(np.float64(959.22119140625), np.float64(1061.4501953125))"
7,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(929.881591796875), np.float64(916.7392578125))","(np.float64(986.8208618164062), np.float64(979.572998046875))","(np.float64(924.0407104492188), np.float64(930.7676391601562))","(np.float64(986.826904296875), np.float64(993.6944580078125))","(np.float64(921.7994384765625), np.float64(950.769287109375))","(np.float64(978.9215698242188), np.float64(1013.669677734375))","(np.float64(923.7030639648438), np.float64(976.7166137695312))","(np.float64(968.6793212890625), np.float64(1035.5543212890625))","(np.float64(931.62939453125), np.float64(1006.7748413085938))","(np.float64(960.8438720703125), np.float64(1059.923583984375))"
8,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(935.6028442382812), np.float64(913.626953125))","(np.float64(995.2216186523438), np.float64(977.4434204101562))","(np.float64(929.663330078125), np.float64(927.68701171875))","(np.float64(993.4237060546875), np.float64(991.555908203125))","(np.float64(927.5556640625), np.float64(947.5997314453125))","(np.float64(987.1273803710938), np.float64(1009.5992431640625))","(np.float64(929.3590698242188), np.float64(973.3930053710938))","(np.float64(975.200439453125), np.float64(1029.4486083984375))","(np.float64(937.4060668945312), np.float64(1003.4838256835938))","(np.float64(963.3324584960938), np.float64(1057.5120849609375))"
9,1,labels_v001_081_08_20_21_ Set 2_ Cage A_ 1_Mated_sub14_325_331_analysis,"(np.float64(935.0496826171875), np.float64(913.509033203125))","(np.float64(995.2711181640625), np.float64(977.2916870117188))","(np.float64(929.1822509765625), np.float64(927.5888671875))","(np.float64(995.0670776367188), np.float64(991.4035034179688))","(np.float64(927.0596923828125), np.float64(947.5145263671875))","(np.float64(987.0296020507812), np.float64(1009.3793334960938))","(np.float64(928.912109375), np.float64(973.2732543945312))","(np.float64(974.9615478515625), np.float64(1029.17431640625))","(np.float64(937.0606689453125), np.float64(1001.7676391601562))","(np.float64(962.9425048828125), np.float64(1055.5111083984375))"
