frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.767822265625), np.float64(856.862548828125))","(np.float64(1127.2791748046875), np.float64(912.1571044921875))","(np.float64(1041.6636962890625), np.float64(868.9306640625))","(np.float64(1121.1873779296875), np.float64(926.016845703125))","(np.float64(1039.35791015625), np.float64(890.9550170898438))","(np.float64(1101.3992919921875), np.float64(938.0770263671875))","(np.float64(1041.4195556640625), np.float64(916.8532104492188))","(np.float64(1080.962646484375), np.float64(943.9889526367188))","(np.float64(1049.356201171875), np.float64(950.8292236328125))","(np.float64(1050.8426513671875), np.float64(951.9244995117188))"
1,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.92333984375), np.float64(857.0270385742188))","(np.float64(1127.36865234375), np.float64(912.1324462890625))","(np.float64(1041.8170166015625), np.float64(869.104248046875))","(np.float64(1121.3194580078125), np.float64(924.5465698242188))","(np.float64(1039.6171875), np.float64(891.1653442382812))","(np.float64(1103.150390625), np.float64(938.0802001953125))","(np.float64(1043.6468505859375), np.float64(917.0540771484375))","(np.float64(1082.9063720703125), np.float64(944.1469116210938))","(np.float64(1049.50439453125), np.float64(951.0816040039062))","(np.float64(1050.83642578125), np.float64(952.0771484375))"
2,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.864013671875), np.float64(857.1152954101562))","(np.float64(1127.36669921875), np.float64(912.1863403320312))","(np.float64(1041.7606201171875), np.float64(869.1840209960938))","(np.float64(1121.3211669921875), np.float64(924.5773315429688))","(np.float64(1039.6136474609375), np.float64(891.2559814453125))","(np.float64(1103.16650390625), np.float64(938.1826171875))","(np.float64(1043.6007080078125), np.float64(917.146484375))","(np.float64(1082.9217529296875), np.float64(944.2516479492188))","(np.float64(1048.059814453125), np.float64(951.1422119140625))","(np.float64(1050.8087158203125), np.float64(952.1851806640625))"
3,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.697021484375), np.float64(857.0560302734375))","(np.float64(1127.2752685546875), np.float64(912.3737182617188))","(np.float64(1041.5965576171875), np.float64(869.1071166992188))","(np.float64(1121.1595458984375), np.float64(926.185546875))","(np.float64(1039.383056640625), np.float64(891.1654052734375))","(np.float64(1101.4364013671875), np.float64(938.37109375))","(np.float64(1041.4100341796875), np.float64(917.054931640625))","(np.float64(1081.0291748046875), np.float64(944.302490234375))","(np.float64(1047.839111328125), np.float64(949.4119873046875))","(np.float64(1050.8353271484375), np.float64(952.2273559570312))"
4,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.6771240234375), np.float64(857.0429077148438))","(np.float64(1127.491943359375), np.float64(912.3142700195312))","(np.float64(1041.586181640625), np.float64(869.0842895507812))","(np.float64(1121.432373046875), np.float64(924.6846313476562))","(np.float64(1039.3624267578125), np.float64(891.1600952148438))","(np.float64(1103.2784423828125), np.float64(938.403076171875))","(np.float64(1041.3857421875), np.float64(917.0493774414062))","(np.float64(1083.010986328125), np.float64(944.4825439453125))","(np.float64(1047.838134765625), np.float64(949.405029296875))","(np.float64(1050.8677978515625), np.float64(952.4359741210938))"
5,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.8660888671875), np.float64(857.1663818359375))","(np.float64(1127.5321044921875), np.float64(912.1388549804688))","(np.float64(1041.766845703125), np.float64(869.2403564453125))","(np.float64(1121.4697265625), np.float64(924.532470703125))","(np.float64(1039.616943359375), np.float64(891.2955932617188))","(np.float64(1103.33251953125), np.float64(938.2471923828125))","(np.float64(1043.5792236328125), np.float64(917.186279296875))","(np.float64(1083.0572509765625), np.float64(944.322021484375))","(np.float64(1049.4849853515625), np.float64(949.5821533203125))","(np.float64(1051.00048828125), np.float64(950.69384765625))"
6,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.6866455078125), np.float64(856.9880981445312))","(np.float64(1127.2425537109375), np.float64(912.3182983398438))","(np.float64(1041.632080078125), np.float64(869.0311889648438))","(np.float64(1121.1768798828125), np.float64(924.7396850585938))","(np.float64(1039.393310546875), np.float64(891.1041870117188))","(np.float64(1102.950439453125), np.float64(938.39111328125))","(np.float64(1041.3646240234375), np.float64(917.0028076171875))","(np.float64(1081.010009765625), np.float64(944.3396606445312))","(np.float64(1047.79248046875), np.float64(949.322998046875))","(np.float64(1049.43701171875), np.float64(952.2328491210938))"
7,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.642578125), np.float64(856.9528198242188))","(np.float64(1127.119384765625), np.float64(912.5725708007812))","(np.float64(1041.584228515625), np.float64(869.060302734375))","(np.float64(1121.0537109375), np.float64(924.9934692382812))","(np.float64(1039.3385009765625), np.float64(891.08203125))","(np.float64(1101.3739013671875), np.float64(938.6109008789062))","(np.float64(1041.3123779296875), np.float64(916.9649047851562))","(np.float64(1080.9490966796875), np.float64(944.5706787109375))","(np.float64(1047.738037109375), np.float64(950.8983154296875))","(np.float64(1049.3333740234375), np.float64(952.4756469726562))"
8,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.5992431640625), np.float64(856.9852905273438))","(np.float64(1127.1790771484375), np.float64(913.0366821289062))","(np.float64(1041.525146484375), np.float64(869.050048828125))","(np.float64(1121.1573486328125), np.float64(925.40380859375))","(np.float64(1039.27294921875), np.float64(891.0992431640625))","(np.float64(1103.1455078125), np.float64(939.1033935546875))","(np.float64(1041.2586669921875), np.float64(917.0075073242188))","(np.float64(1082.8846435546875), np.float64(945.0662841796875))","(np.float64(1047.5706787109375), np.float64(951.01171875))","(np.float64(1049.161376953125), np.float64(952.985107421875))"
9,0,labels_v001_114_08_20_21_ Set 2_ Cage B_ 3_Virgin_sub2_64_67_analysis,"(np.float64(1049.6031494140625), np.float64(856.9114990234375))","(np.float64(1126.9580078125), np.float64(913.5187377929688))","(np.float64(1041.5152587890625), np.float64(868.994384765625))","(np.float64(1120.8431396484375), np.float64(927.319580078125))","(np.float64(1039.2578125), np.float64(891.0209350585938))","(np.float64(1101.283203125), np.float64(939.5282592773438))","(np.float64(1041.2430419921875), np.float64(916.9270629882812))","(np.float64(1080.8424072265625), np.float64(945.3768920898438))","(np.float64(1047.46484375), np.float64(951.0090942382812))","(np.float64(1048.919677734375), np.float64(951.7633056640625))"
