frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1067.80029296875), np.float64(909.56494140625))","(np.float64(1143.457275390625), np.float64(954.27587890625))","(np.float64(1056.2342529296875), np.float64(921.54541015625))","(np.float64(1141.56640625), np.float64(969.9203491210938))","(np.float64(1049.9150390625), np.float64(943.54931640625))","(np.float64(1135.2830810546875), np.float64(990.0841064453125))","(np.float64(1051.802001953125), np.float64(969.5614013671875))","(np.float64(1125.296630859375), np.float64(1011.879150390625))","(np.float64(1058.01025390625), np.float64(999.5003662109375))","(np.float64(1121.246826171875), np.float64(1036.15673828125))"
1,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1055.08349609375), np.float64(913.241943359375))","(np.float64(1129.4486083984375), np.float64(957.5307006835938))","(np.float64(1044.8033447265625), np.float64(923.6153564453125))","(np.float64(1129.296630859375), np.float64(973.2521362304688))","(np.float64(1036.7081298828125), np.float64(945.2479858398438))","(np.float64(1121.421630859375), np.float64(992.9075317382812))","(np.float64(1036.8533935546875), np.float64(971.384033203125))","(np.float64(1111.196044921875), np.float64(1013.1110229492188))","(np.float64(1041.2747802734375), np.float64(1001.5633544921875))","(np.float64(1101.550048828125), np.float64(1039.0845947265625))"
2,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1040.0906982421875), np.float64(914.9682006835938))","(np.float64(1112.5035400390625), np.float64(965.162109375))","(np.float64(1029.6546630859375), np.float64(926.7501831054688))","(np.float64(1112.2835693359375), np.float64(979.397705078125))","(np.float64(1020.091552734375), np.float64(946.7025146484375))","(np.float64(1104.119384765625), np.float64(997.4705200195312))","(np.float64(1019.7412719726562), np.float64(972.7993774414062))","(np.float64(1092.0523681640625), np.float64(1019.2354125976562))","(np.float64(1023.57958984375), np.float64(1005.0181884765625))","(np.float64(1082.0538330078125), np.float64(1043.2384033203125))"
3,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1042.9869384765625), np.float64(914.2911987304688))","(np.float64(1117.2606201171875), np.float64(963.74609375))","(np.float64(1031.2384033203125), np.float64(926.1670532226562))","(np.float64(1117.12109375), np.float64(979.4043579101562))","(np.float64(1023.1532592773438), np.float64(946.1624755859375))","(np.float64(1109.0118408203125), np.float64(997.6724243164062))","(np.float64(1023.0133666992188), np.float64(972.2635498046875))","(np.float64(1097.054443359375), np.float64(1019.3928833007812))","(np.float64(1025.0498046875), np.float64(1004.1477661132812))","(np.float64(1087.1141357421875), np.float64(1043.679443359375))"
4,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1058.0546875), np.float64(911.6207885742188))","(np.float64(1139.32958984375), np.float64(957.2980346679688))","(np.float64(1046.4078369140625), np.float64(923.5086059570312))","(np.float64(1139.2869873046875), np.float64(971.3739624023438))","(np.float64(1038.5391845703125), np.float64(943.7301025390625))","(np.float64(1131.59912109375), np.float64(991.2930297851562))","(np.float64(1040.1904296875), np.float64(971.3999633789062))","(np.float64(1123.2310791015625), np.float64(1013.2194213867188))","(np.float64(1042.540283203125), np.float64(1001.544189453125))","(np.float64(1115.2020263671875), np.float64(1041.3267822265625))"
5,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1059.3441162109375), np.float64(911.9193115234375))","(np.float64(1145.1912841796875), np.float64(953.3150024414062))","(np.float64(1049.2119140625), np.float64(923.8862915039062))","(np.float64(1145.2138671875), np.float64(967.4668579101562))","(np.float64(1041.4539794921875), np.float64(944.1357421875))","(np.float64(1139.042724609375), np.float64(987.381103515625))","(np.float64(1043.2982177734375), np.float64(971.8425903320312))","(np.float64(1129.09130859375), np.float64(1009.234130859375))","(np.float64(1045.5858154296875), np.float64(1002.0882568359375))","(np.float64(1123.319091796875), np.float64(1035.51220703125))"
6,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1053.7900390625), np.float64(911.8381958007812))","(np.float64(1139.3023681640625), np.float64(955.6717529296875))","(np.float64(1042.1146240234375), np.float64(923.7544555664062))","(np.float64(1139.2667236328125), np.float64(969.7787475585938))","(np.float64(1034.2548828125), np.float64(943.9237670898438))","(np.float64(1131.5941162109375), np.float64(989.7402954101562))","(np.float64(1035.8575439453125), np.float64(971.6107177734375))","(np.float64(1123.3006591796875), np.float64(1011.7357788085938))","(np.float64(1038.191650390625), np.float64(1001.8834838867188))","(np.float64(1117.25732421875), np.float64(1036.1480712890625))"
7,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1043.3607177734375), np.float64(914.8553466796875))","(np.float64(1127.3533935546875), np.float64(957.1574096679688))","(np.float64(1031.5987548828125), np.float64(926.7987060546875))","(np.float64(1127.5545654296875), np.float64(971.4000244140625))","(np.float64(1023.62255859375), np.float64(945.4032592773438))","(np.float64(1121.20068359375), np.float64(991.119384765625))","(np.float64(1023.356689453125), np.float64(972.984375))","(np.float64(1111.187255859375), np.float64(1013.0652465820312))","(np.float64(1025.5556640625), np.float64(1003.2647094726562))","(np.float64(1103.3292236328125), np.float64(1039.2274169921875))"
8,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1049.440185546875), np.float64(915.1475830078125))","(np.float64(1133.7904052734375), np.float64(956.0252075195312))","(np.float64(1037.7354736328125), np.float64(927.0983276367188))","(np.float64(1135.638916015625), np.float64(970.16845703125))","(np.float64(1029.7657470703125), np.float64(945.6943359375))","(np.float64(1127.7391357421875), np.float64(989.9981079101562))","(np.float64(1029.4267578125), np.float64(973.3532104492188))","(np.float64(1119.4495849609375), np.float64(1012.0895385742188))","(np.float64(1035.69287109375), np.float64(1005.270751953125))","(np.float64(1113.295654296875), np.float64(1037.99658203125))"
9,1,labels_v001_091_08_20_21_ Set 2_ Cage A_ 2_Mated_sub0_339_347_analysis,"(np.float64(1054.8505859375), np.float64(912.9345092773438))","(np.float64(1139.588623046875), np.float64(952.5005493164062))","(np.float64(1043.308837890625), np.float64(924.9722290039062))","(np.float64(1141.418212890625), np.float64(966.7371215820312))","(np.float64(1036.8953857421875), np.float64(945.0289916992188))","(np.float64(1133.5140380859375), np.float64(986.4848022460938))","(np.float64(1036.9853515625), np.float64(972.6621704101562))","(np.float64(1125.195068359375), np.float64(1008.469482421875))","(np.float64(1041.2275390625), np.float64(1002.8681030273438))","(np.float64(1119.4830322265625), np.float64(1034.5535888671875))"
