frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(861.4573364257812), np.float64(823.513916015625))","(np.float64(933.3331909179688), np.float64(859.9967651367188))","(np.float64(855.6376342773438), np.float64(835.8445434570312))","(np.float64(933.270751953125), np.float64(875.9199829101562))","(np.float64(855.4089965820312), np.float64(857.769287109375))","(np.float64(925.3760986328125), np.float64(896.139892578125))","(np.float64(863.3004150390625), np.float64(883.5468139648438))","(np.float64(919.3179321289062), np.float64(919.8370361328125))","(np.float64(875.4827880859375), np.float64(909.623291015625))","(np.float64(919.3626098632812), np.float64(948.135986328125))"
1,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(874.0972290039062), np.float64(825.3307495117188))","(np.float64(942.7556762695312), np.float64(864.4811401367188))","(np.float64(868.3003540039062), np.float64(839.3063354492188))","(np.float64(942.7108764648438), np.float64(880.4501342773438))","(np.float64(868.1671752929688), np.float64(859.6093139648438))","(np.float64(932.85107421875), np.float64(900.2771606445312))","(np.float64(876.1779174804688), np.float64(885.2664794921875))","(np.float64(924.7783203125), np.float64(920.44677734375))","(np.float64(890.2077026367188), np.float64(911.27001953125))","(np.float64(919.0863037109375), np.float64(950.7636108398438))"
2,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(875.7509765625), np.float64(827.338134765625))","(np.float64(945.9464111328125), np.float64(858.7347412109375))","(np.float64(869.9613037109375), np.float64(839.6536865234375))","(np.float64(947.5965576171875), np.float64(874.6881713867188))","(np.float64(869.7734985351562), np.float64(861.5925903320312))","(np.float64(939.475830078125), np.float64(894.6875610351562))","(np.float64(877.6314697265625), np.float64(887.3765869140625))","(np.float64(931.673095703125), np.float64(916.747314453125))","(np.float64(891.7608032226562), np.float64(911.5739135742188))","(np.float64(929.5488891601562), np.float64(947.1597900390625))"
3,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(871.2819213867188), np.float64(825.0899658203125))","(np.float64(941.9259033203125), np.float64(856.575439453125))","(np.float64(867.022705078125), np.float64(839.07373046875))","(np.float64(942.14306640625), np.float64(872.4751586914062))","(np.float64(865.319580078125), np.float64(859.4080810546875))","(np.float64(934.1807861328125), np.float64(892.5664672851562))","(np.float64(872.99853515625), np.float64(885.0269165039062))","(np.float64(927.9444580078125), np.float64(916.3284301757812))","(np.float64(887.187255859375), np.float64(911.0237426757812))","(np.float64(927.8338623046875), np.float64(946.4208984375))"
4,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(867.3116455078125), np.float64(824.6303100585938))","(np.float64(931.8642578125), np.float64(867.2493896484375))","(np.float64(861.36767578125), np.float64(837.0172729492188))","(np.float64(931.6552734375), np.float64(882.90869140625))","(np.float64(860.9452514648438), np.float64(858.9705810546875))","(np.float64(919.6055297851562), np.float64(899.2681884765625))","(np.float64(869.090576171875), np.float64(884.6516723632812))","(np.float64(907.66845703125), np.float64(917.04150390625))","(np.float64(883.1205444335938), np.float64(910.5498046875))","(np.float64(893.7512817382812), np.float64(944.9866943359375))"
5,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(878.9939575195312), np.float64(825.2446899414062))","(np.float64(940.7572021484375), np.float64(876.8619995117188))","(np.float64(872.8729248046875), np.float64(839.3580932617188))","(np.float64(936.8782348632812), np.float64(890.922607421875))","(np.float64(872.8756103515625), np.float64(859.6029663085938))","(np.float64(922.6327514648438), np.float64(906.76220703125))","(np.float64(880.9400024414062), np.float64(885.2345581054688))","(np.float64(908.4494018554688), np.float64(920.8162231445312))","(np.float64(894.974365234375), np.float64(911.2249145507812))","(np.float64(892.7289428710938), np.float64(946.8565673828125))"
6,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(880.5059204101562), np.float64(827.945556640625))","(np.float64(948.76416015625), np.float64(869.1580810546875))","(np.float64(874.5575561523438), np.float64(840.2342529296875))","(np.float64(946.7499389648438), np.float64(885.1668090820312))","(np.float64(874.52734375), np.float64(862.2144165039062))","(np.float64(936.2767333984375), np.float64(902.8603515625))","(np.float64(884.2472534179688), np.float64(888.0089111328125))","(np.float64(924.3846435546875), np.float64(920.9851684570312))","(np.float64(898.2645263671875), np.float64(912.0515747070312))","(np.float64(914.30615234375), np.float64(950.9430541992188))"
7,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(876.2665405273438), np.float64(827.2608642578125))","(np.float64(942.3871459960938), np.float64(863.5010986328125))","(np.float64(871.919189453125), np.float64(841.1282958984375))","(np.float64(942.0687255859375), np.float64(879.19677734375))","(np.float64(870.3048706054688), np.float64(861.5496826171875))","(np.float64(932.2533569335938), np.float64(897.524169921875))","(np.float64(880.0664672851562), np.float64(887.2459106445312))","(np.float64(923.9459228515625), np.float64(917.3839111328125))","(np.float64(893.9313354492188), np.float64(911.5131225585938))","(np.float64(917.9102783203125), np.float64(949.2792358398438))"
8,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(870.6255493164062), np.float64(827.6731567382812))","(np.float64(940.6373291015625), np.float64(850.02099609375))","(np.float64(864.8003540039062), np.float64(839.8184814453125))","(np.float64(940.3861694335938), np.float64(865.5694580078125))","(np.float64(864.6273193359375), np.float64(861.8798217773438))","(np.float64(934.6575927734375), np.float64(885.9788818359375))","(np.float64(872.6821899414062), np.float64(887.78857421875))","(np.float64(928.2772827148438), np.float64(907.621826171875))","(np.float64(886.550048828125), np.float64(911.739013671875))","(np.float64(922.588623046875), np.float64(937.580810546875))"
9,1,labels_v001_011_08_19_21_ Set 1_ Cage A_ 3_Mated_sub9_477_489_analysis,"(np.float64(869.9376831054688), np.float64(827.1893920898438))","(np.float64(941.675048828125), np.float64(846.9312744140625))","(np.float64(864.0303344726562), np.float64(839.3213500976562))","(np.float64(941.78369140625), np.float64(862.6047973632812))","(np.float64(863.9115600585938), np.float64(861.3242797851562))","(np.float64(937.6015625), np.float64(882.968505859375))","(np.float64(871.9999389648438), np.float64(887.2940673828125))","(np.float64(931.499267578125), np.float64(904.6981811523438))","(np.float64(885.8018188476562), np.float64(911.3368530273438))","(np.float64(927.8487548828125), np.float64(936.71826171875))"
