frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
402,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(925.0504760742188), np.float64(939.6119384765625))","(np.float64(1012.480712890625), np.float64(1016.2944946289062))","(np.float64(915.232177734375), np.float64(948.551513671875))","(np.float64(1004.4755859375), np.float64(1029.983154296875))","(np.float64(913.12158203125), np.float64(972.95849609375))","(np.float64(982.4923095703125), np.float64(1036.388671875))","(np.float64(916.83544921875), np.float64(1000.55859375))","(np.float64(960.2119750976562), np.float64(1036.14111328125))","(np.float64(923.2230224609375), np.float64(1031.038818359375))","(np.float64(926.2197265625), np.float64(1032.16943359375))"
403,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(924.8527221679688), np.float64(939.2390747070312))","(np.float64(1012.4196166992188), np.float64(1016.5103149414062))","(np.float64(915.0333251953125), np.float64(948.3155517578125))","(np.float64(1004.3885498046875), np.float64(1028.694580078125))","(np.float64(912.9868774414062), np.float64(972.57470703125))","(np.float64(982.4183959960938), np.float64(1036.7275390625))","(np.float64(916.626220703125), np.float64(1000.203369140625))","(np.float64(959.9497680664062), np.float64(1036.4991455078125))","(np.float64(923.0272827148438), np.float64(1032.240478515625))","(np.float64(926.13818359375), np.float64(1032.5865478515625))"
404,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(923.4556884765625), np.float64(939.4024047851562))","(np.float64(1012.9591674804688), np.float64(1016.1458129882812))","(np.float64(915.2061157226562), np.float64(948.4732666015625))","(np.float64(1004.884521484375), np.float64(1028.3792724609375))","(np.float64(913.1737060546875), np.float64(972.7626342773438))","(np.float64(982.9439086914062), np.float64(1037.8358154296875))","(np.float64(916.8230590820312), np.float64(1000.3541870117188))","(np.float64(959.0682983398438), np.float64(1036.051025390625))","(np.float64(924.81689453125), np.float64(1030.747802734375))","(np.float64(926.7340087890625), np.float64(1031.9755859375))"
405,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(924.2022705078125), np.float64(939.876220703125))","(np.float64(1013.6099243164062), np.float64(1014.483154296875))","(np.float64(915.9279174804688), np.float64(948.8646240234375))","(np.float64(1007.1632690429688), np.float64(1028.240478515625))","(np.float64(915.7394409179688), np.float64(973.1969604492188))","(np.float64(985.370849609375), np.float64(1036.3695068359375))","(np.float64(918.1702880859375), np.float64(1000.8171997070312))","(np.float64(963.1384887695312), np.float64(1036.325439453125))","(np.float64(925.9580688476562), np.float64(1031.20166015625))","(np.float64(927.5379638671875), np.float64(1032.326904296875))"
406,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(924.2921752929688), np.float64(939.9108276367188))","(np.float64(1014.9169311523438), np.float64(1014.1575927734375))","(np.float64(916.049072265625), np.float64(948.9620361328125))","(np.float64(1006.9451904296875), np.float64(1027.8447265625))","(np.float64(915.9883422851562), np.float64(973.1882934570312))","(np.float64(985.0159301757812), np.float64(1035.97216796875))","(np.float64(918.3765258789062), np.float64(1000.8457641601562))","(np.float64(962.852294921875), np.float64(1036.015380859375))","(np.float64(926.2034301757812), np.float64(1031.2176513671875))","(np.float64(928.8766479492188), np.float64(1032.078125))"
407,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(924.4052124023438), np.float64(939.744873046875))","(np.float64(1015.218994140625), np.float64(1013.9491577148438))","(np.float64(916.1492919921875), np.float64(948.85205078125))","(np.float64(1007.3182983398438), np.float64(1026.184326171875))","(np.float64(916.1329345703125), np.float64(973.0232543945312))","(np.float64(985.369140625), np.float64(1035.703857421875))","(np.float64(918.5148315429688), np.float64(1000.6959228515625))","(np.float64(961.7323608398438), np.float64(1035.89697265625))","(np.float64(926.3452758789062), np.float64(1031.0382080078125))","(np.float64(929.1928100585938), np.float64(1031.7823486328125))"
408,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(924.5775146484375), np.float64(939.2774658203125))","(np.float64(1015.55517578125), np.float64(1013.9149169921875))","(np.float64(916.3147583007812), np.float64(948.5020751953125))","(np.float64(1007.5576171875), np.float64(1026.1444091796875))","(np.float64(916.4307250976562), np.float64(972.5040283203125))","(np.float64(985.6287231445312), np.float64(1035.6959228515625))","(np.float64(918.73193359375), np.float64(1000.2382202148438))","(np.float64(963.39697265625), np.float64(1035.9368896484375))","(np.float64(926.6568603515625), np.float64(1030.4725341796875))","(np.float64(929.6161499023438), np.float64(1030.2420654296875))"
409,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(925.1143188476562), np.float64(939.2437133789062))","(np.float64(1016.8470458984375), np.float64(1013.7312622070312))","(np.float64(916.7572631835938), np.float64(948.4364624023438))","(np.float64(1008.8862915039062), np.float64(1025.9599609375))","(np.float64(916.966064453125), np.float64(972.4517822265625))","(np.float64(986.8848266601562), np.float64(1034.20556640625))","(np.float64(920.6693725585938), np.float64(1000.20751953125))","(np.float64(964.4716186523438), np.float64(1035.89404296875))","(np.float64(928.8560180664062), np.float64(1030.5267333984375))","(np.float64(930.8056640625), np.float64(1031.8167724609375))"
410,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(925.3095703125), np.float64(939.7235107421875))","(np.float64(1016.6228637695312), np.float64(1013.4611206054688))","(np.float64(917.11181640625), np.float64(948.8678588867188))","(np.float64(1008.57275390625), np.float64(1025.682861328125))","(np.float64(917.226806640625), np.float64(972.9544677734375))","(np.float64(986.6258544921875), np.float64(1035.263671875))","(np.float64(920.9863891601562), np.float64(1000.65087890625))","(np.float64(964.1962890625), np.float64(1035.4549560546875))","(np.float64(929.147705078125), np.float64(1030.85693359375))","(np.float64(930.5184326171875), np.float64(1031.395751953125))"
411,0,labels_v001_141_09_07_21_ Cage 3_ 5_Virgin_sub1_395_409_analysis,"(np.float64(924.7587280273438), np.float64(939.3477172851562))","(np.float64(1015.9873657226562), np.float64(1013.8819580078125))","(np.float64(916.4876708984375), np.float64(948.5199584960938))","(np.float64(1007.9532470703125), np.float64(1026.0709228515625))","(np.float64(916.6535034179688), np.float64(972.5408935546875))","(np.float64(986.0501708984375), np.float64(1035.6531982421875))","(np.float64(918.9148559570312), np.float64(1000.3052368164062))","(np.float64(963.656005859375), np.float64(1035.855712890625))","(np.float64(926.8158569335938), np.float64(1030.663818359375))","(np.float64(929.8995361328125), np.float64(1031.9500732421875))"
