frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
10,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(843.225341796875), np.float64(952.1546020507812))","(np.float64(898.2236328125), np.float64(1038.2889404296875))","(np.float64(831.0258178710938), np.float64(963.7247924804688))","(np.float64(893.8831787109375), np.float64(1052.383544921875))","(np.float64(819.0184326171875), np.float64(981.9376831054688))","(np.float64(877.7470703125), np.float64(1066.5286865234375))","(np.float64(808.7550048828125), np.float64(1007.8154907226562))","(np.float64(859.737548828125), np.float64(1080.34375))","(np.float64(801.028076171875), np.float64(1036.03955078125))","(np.float64(836.0148315429688), np.float64(1100.570068359375))"
11,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(847.8837890625), np.float64(953.18310546875))","(np.float64(913.2975463867188), np.float64(1074.4471435546875))","(np.float64(835.7822265625), np.float64(964.7384033203125))","(np.float64(903.3287353515625), np.float64(1084.7962646484375))","(np.float64(824.0057983398438), np.float64(982.7947998046875))","(np.float64(881.4813232421875), np.float64(1092.512939453125))","(np.float64(815.892822265625), np.float64(1008.8148803710938))","(np.float64(859.3532104492188), np.float64(1096.564697265625))","(np.float64(807.9074096679688), np.float64(1039.2479248046875))","(np.float64(829.26708984375), np.float64(1106.6212158203125))"
12,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(853.4190673828125), np.float64(955.9832153320312))","(np.float64(924.7457275390625), np.float64(1087.1968994140625))","(np.float64(841.2483520507812), np.float64(966.0256958007812))","(np.float64(914.4889526367188), np.float64(1097.1895751953125))","(np.float64(829.3832397460938), np.float64(984.21435546875))","(np.float64(890.7864990234375), np.float64(1101.3203125))","(np.float64(823.2239990234375), np.float64(1011.927734375))","(np.float64(868.4815673828125), np.float64(1103.2259521484375))","(np.float64(815.4755859375), np.float64(1042.131103515625))","(np.float64(838.7151489257812), np.float64(1109.2939453125))"
13,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(856.4541015625), np.float64(956.2151489257812))","(np.float64(925.2357177734375), np.float64(1085.4779052734375))","(np.float64(842.794921875), np.float64(966.1638793945312))","(np.float64(911.4865112304688), np.float64(1095.41748046875))","(np.float64(832.3126220703125), np.float64(984.4068603515625))","(np.float64(889.3790893554688), np.float64(1097.75))","(np.float64(824.513671875), np.float64(1012.1727294921875))","(np.float64(867.2365112304688), np.float64(1097.3380126953125))","(np.float64(818.5828857421875), np.float64(1042.44677734375))","(np.float64(839.197265625), np.float64(1101.7347412109375))"
14,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(853.7427978515625), np.float64(955.7324829101562))","(np.float64(909.8193359375), np.float64(1093.9921875))","(np.float64(841.6016235351562), np.float64(965.7658081054688))","(np.float64(895.990966796875), np.float64(1100.2313232421875))","(np.float64(831.1627197265625), np.float64(984.0726928710938))","(np.float64(872.116455078125), np.float64(1098.1796875))","(np.float64(823.41845703125), np.float64(1011.7919921875))","(np.float64(851.7681274414062), np.float64(1091.906005859375))","(np.float64(817.2150268554688), np.float64(1041.9044189453125))","(np.float64(821.6123046875), np.float64(1087.820556640625))"
15,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(853.7216186523438), np.float64(954.2058715820312))","(np.float64(893.5914306640625), np.float64(1094.88818359375))","(np.float64(841.4677124023438), np.float64(964.25))","(np.float64(877.9105834960938), np.float64(1100.6368408203125))","(np.float64(829.6719360351562), np.float64(984.1245727539062))","(np.float64(855.6941528320312), np.float64(1094.90478515625))","(np.float64(823.46240234375), np.float64(1011.905029296875))","(np.float64(835.590576171875), np.float64(1084.735595703125))","(np.float64(815.658935546875), np.float64(1041.8143310546875))","(np.float64(803.675048828125), np.float64(1078.533935546875))"
16,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(853.2073974609375), np.float64(955.7781372070312))","(np.float64(887.9286499023438), np.float64(1105.6849365234375))","(np.float64(840.9568481445312), np.float64(965.80810546875))","(np.float64(871.967041015625), np.float64(1107.7669677734375))","(np.float64(828.9492797851562), np.float64(984.2156372070312))","(np.float64(850.3025512695312), np.float64(1099.7412109375))","(np.float64(821.0455932617188), np.float64(1012.0020141601562))","(np.float64(832.081787109375), np.float64(1087.45654296875))","(np.float64(815.0570678710938), np.float64(1040.2667236328125))","(np.float64(800.23779296875), np.float64(1073.3819580078125))"
17,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(853.1397094726562), np.float64(956.359619140625))","(np.float64(883.6580810546875), np.float64(1109.8572998046875))","(np.float64(840.8511962890625), np.float64(966.3226318359375))","(np.float64(867.5240478515625), np.float64(1109.9569091796875))","(np.float64(828.7852783203125), np.float64(984.6072387695312))","(np.float64(847.4489135742188), np.float64(1101.635986328125))","(np.float64(821.0035400390625), np.float64(1012.4467163085938))","(np.float64(829.3416748046875), np.float64(1087.612060546875))","(np.float64(815.2567138671875), np.float64(1042.4468994140625))","(np.float64(803.2816772460938), np.float64(1073.449462890625))"
18,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(853.7714233398438), np.float64(956.9185791015625))","(np.float64(893.3238525390625), np.float64(1108.85791015625))","(np.float64(841.5068359375), np.float64(966.9403076171875))","(np.float64(877.5165405273438), np.float64(1111.1024169921875))","(np.float64(829.5242919921875), np.float64(985.2872924804688))","(np.float64(855.5517578125), np.float64(1102.8828125))","(np.float64(821.51123046875), np.float64(1013.0692138671875))","(np.float64(837.4011840820312), np.float64(1088.8212890625))","(np.float64(817.6723022460938), np.float64(1043.1365966796875))","(np.float64(809.3718872070312), np.float64(1074.8604736328125))"
19,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(855.123046875), np.float64(956.5062255859375))","(np.float64(895.7072143554688), np.float64(1106.302490234375))","(np.float64(842.788818359375), np.float64(966.5509643554688))","(np.float64(881.599853515625), np.float64(1110.3477783203125))","(np.float64(832.6229248046875), np.float64(984.9431762695312))","(np.float64(859.6271362304688), np.float64(1104.272216796875))","(np.float64(824.6912231445312), np.float64(1012.6339111328125))","(np.float64(839.735107421875), np.float64(1092.279541015625))","(np.float64(819.0604858398438), np.float64(1042.8250732421875))","(np.float64(809.7255249023438), np.float64(1078.4859619140625))"
20,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(861.9969482421875), np.float64(954.7979125976562))","(np.float64(912.2247924804688), np.float64(1095.66015625))","(np.float64(848.2774658203125), np.float64(964.7994995117188))","(np.float64(900.130615234375), np.float64(1103.7315673828125))","(np.float64(838.302978515625), np.float64(984.8672485351562))","(np.float64(877.818359375), np.float64(1101.756591796875))","(np.float64(832.0467529296875), np.float64(1012.5470581054688))","(np.float64(855.93017578125), np.float64(1095.693603515625))","(np.float64(826.1834716796875), np.float64(1042.6240234375))","(np.float64(824.244384765625), np.float64(1089.7113037109375))"
21,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(861.2738647460938), np.float64(955.5458374023438))","(np.float64(913.3896484375), np.float64(1089.4305419921875))","(np.float64(849.1324462890625), np.float64(965.6846313476562))","(np.float64(901.6317749023438), np.float64(1099.4737548828125))","(np.float64(840.6664428710938), np.float64(985.6150512695312))","(np.float64(877.7103271484375), np.float64(1099.84521484375))","(np.float64(832.8809204101562), np.float64(1011.7345581054688))","(np.float64(855.6160278320312), np.float64(1099.51611328125))","(np.float64(827.1222534179688), np.float64(1043.6314697265625))","(np.float64(825.6787109375), np.float64(1097.8253173828125))"
22,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(858.9413452148438), np.float64(956.0726318359375))","(np.float64(909.438720703125), np.float64(1081.0614013671875))","(np.float64(846.6878051757812), np.float64(966.1812744140625))","(np.float64(895.7061157226562), np.float64(1090.8326416015625))","(np.float64(836.612060546875), np.float64(986.1182861328125))","(np.float64(873.6929931640625), np.float64(1092.972900390625))","(np.float64(828.7701416015625), np.float64(1012.252197265625))","(np.float64(851.5545043945312), np.float64(1092.66748046875))","(np.float64(824.6693725585938), np.float64(1042.615234375))","(np.float64(817.8652954101562), np.float64(1090.7227783203125))"
23,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(852.4658203125), np.float64(956.1535034179688))","(np.float64(902.4063720703125), np.float64(1064.4833984375))","(np.float64(838.6591796875), np.float64(966.1826782226562))","(np.float64(894.2448120117188), np.float64(1076.4656982421875))","(np.float64(828.3963623046875), np.float64(986.0982666015625))","(np.float64(873.9733276367188), np.float64(1084.5760498046875))","(np.float64(820.44921875), np.float64(1012.2399291992188))","(np.float64(852.0811157226562), np.float64(1092.5008544921875))","(np.float64(816.3903198242188), np.float64(1044.00341796875))","(np.float64(820.4263916015625), np.float64(1100.8642578125))"
24,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(858.6058349609375), np.float64(955.9675903320312))","(np.float64(924.5863037109375), np.float64(1056.59375))","(np.float64(844.9017944335938), np.float64(966.0516967773438))","(np.float64(916.5943603515625), np.float64(1068.5384521484375))","(np.float64(834.8938598632812), np.float64(986.04443359375))","(np.float64(898.5560302734375), np.float64(1082.7890625))","(np.float64(828.61328125), np.float64(1012.1728515625))","(np.float64(880.3319091796875), np.float64(1096.56884765625))","(np.float64(824.4886474609375), np.float64(1042.5546875))","(np.float64(854.4733276367188), np.float64(1116.8804931640625))"
25,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(864.1295166015625), np.float64(954.6875))","(np.float64(943.8554077148438), np.float64(1046.2081298828125))","(np.float64(850.387451171875), np.float64(964.7196655273438))","(np.float64(936.1207885742188), np.float64(1058.3258056640625))","(np.float64(842.258544921875), np.float64(986.2757568359375))","(np.float64(922.086181640625), np.float64(1074.2027587890625))","(np.float64(836.2167358398438), np.float64(1012.412841796875))","(np.float64(907.8314819335938), np.float64(1091.9903564453125))","(np.float64(830.3223876953125), np.float64(1044.3162841796875))","(np.float64(882.0667724609375), np.float64(1117.89111328125))"
26,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(870.121337890625), np.float64(955.4443359375))","(np.float64(957.8971557617188), np.float64(1026.1585693359375))","(np.float64(856.4573974609375), np.float64(965.5548095703125))","(np.float64(955.4671630859375), np.float64(1040.1900634765625))","(np.float64(849.9967041015625), np.float64(987.0651245117188))","(np.float64(945.5653686523438), np.float64(1059.9276123046875))","(np.float64(844.1304931640625), np.float64(1013.2176513671875))","(np.float64(935.4906616210938), np.float64(1080.0576171875))","(np.float64(840.0116577148438), np.float64(1045.5888671875))","(np.float64(919.7455444335938), np.float64(1113.9560546875))"
27,2,labels_v001_191_09_14_21_ Cage Tsom_ 1_Virgin_sub0_140_159_succesful_analysis,"(np.float64(859.2695922851562), np.float64(956.21337890625))","(np.float64(951.0157470703125), np.float64(1002.9144897460938))","(np.float64(845.54150390625), np.float64(966.39404296875))","(np.float64(949.1239013671875), np.float64(1017.1533203125))","(np.float64(837.3910522460938), np.float64(986.2487182617188))","(np.float64(943.4536743164062), np.float64(1038.927734375))","(np.float64(831.3333740234375), np.float64(1012.36669921875))","(np.float64(937.1095581054688), np.float64(1061.0538330078125))","(np.float64(825.474853515625), np.float64(1044.6727294921875))","(np.float64(929.3450317382812), np.float64(1097.0665283203125))"
