frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.8207397460938), np.float64(971.537841796875))","(np.float64(1061.29541015625), np.float64(1035.2469482421875))","(np.float64(998.579833984375), np.float64(981.8546752929688))","(np.float64(1055.4898681640625), np.float64(1049.2957763671875))","(np.float64(990.1924438476562), np.float64(1003.7972412109375))","(np.float64(1039.3487548828125), np.float64(1063.5018310546875))","(np.float64(984.2625122070312), np.float64(1031.4808349609375))","(np.float64(1021.1021728515625), np.float64(1075.3150634765625))","(np.float64(982.1771850585938), np.float64(1061.5078125))","(np.float64(995.1290893554688), np.float64(1093.5325927734375))"
1,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.8221435546875), np.float64(971.5517578125))","(np.float64(1061.2822265625), np.float64(1035.2021484375))","(np.float64(998.5853881835938), np.float64(981.8792724609375))","(np.float64(1055.480712890625), np.float64(1049.26171875))","(np.float64(990.183837890625), np.float64(1003.8093872070312))","(np.float64(1039.356201171875), np.float64(1063.473388671875))","(np.float64(984.273681640625), np.float64(1031.4921875))","(np.float64(1021.1036376953125), np.float64(1075.3006591796875))","(np.float64(982.3195190429688), np.float64(1061.55078125))","(np.float64(995.1830444335938), np.float64(1093.5235595703125))"
2,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.7813110351562), np.float64(971.5682373046875))","(np.float64(1061.3250732421875), np.float64(1035.1656494140625))","(np.float64(998.5478515625), np.float64(981.9012451171875))","(np.float64(1055.532958984375), np.float64(1049.2342529296875))","(np.float64(990.1470336914062), np.float64(1003.8431396484375))","(np.float64(1039.4239501953125), np.float64(1063.4591064453125))","(np.float64(984.2357177734375), np.float64(1031.5159912109375))","(np.float64(1021.1718139648438), np.float64(1075.29931640625))","(np.float64(982.2012329101562), np.float64(1061.5826416015625))","(np.float64(995.24853515625), np.float64(1093.554931640625))"
3,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.7886962890625), np.float64(971.5679931640625))","(np.float64(1061.227783203125), np.float64(1035.320068359375))","(np.float64(998.5625), np.float64(981.9070434570312))","(np.float64(1055.4132080078125), np.float64(1049.385498046875))","(np.float64(990.1780395507812), np.float64(1003.8534545898438))","(np.float64(1039.307861328125), np.float64(1063.59423828125))","(np.float64(984.2460327148438), np.float64(1031.516845703125))","(np.float64(1021.0516967773438), np.float64(1075.419189453125))","(np.float64(982.1917114257812), np.float64(1061.5872802734375))","(np.float64(995.0999755859375), np.float64(1093.7418212890625))"
4,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.6699829101562), np.float64(971.6326904296875))","(np.float64(1061.125732421875), np.float64(1035.32080078125))","(np.float64(998.44091796875), np.float64(981.9952392578125))","(np.float64(1055.3648681640625), np.float64(1049.4080810546875))","(np.float64(990.041015625), np.float64(1003.9357299804688))","(np.float64(1039.2679443359375), np.float64(1063.5689697265625))","(np.float64(984.1211547851562), np.float64(1031.6077880859375))","(np.float64(1021.0423583984375), np.float64(1075.433837890625))","(np.float64(982.0869750976562), np.float64(1061.6640625))","(np.float64(995.049072265625), np.float64(1093.790283203125))"
5,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.6678466796875), np.float64(971.4866943359375))","(np.float64(1061.0076904296875), np.float64(1035.1597900390625))","(np.float64(998.4700317382812), np.float64(981.8840942382812))","(np.float64(1055.227294921875), np.float64(1049.237548828125))","(np.float64(990.115234375), np.float64(1003.8713989257812))","(np.float64(1039.101806640625), np.float64(1063.4169921875))","(np.float64(984.1778564453125), np.float64(1031.527587890625))","(np.float64(1020.8572387695312), np.float64(1075.256591796875))","(np.float64(982.1201171875), np.float64(1061.537353515625))","(np.float64(994.9051513671875), np.float64(1093.5904541015625))"
6,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.70556640625), np.float64(971.6373901367188))","(np.float64(1061.10400390625), np.float64(1035.394287109375))","(np.float64(998.4984130859375), np.float64(982.015380859375))","(np.float64(1055.3505859375), np.float64(1049.5247802734375))","(np.float64(990.119873046875), np.float64(1003.952880859375))","(np.float64(1039.213623046875), np.float64(1063.6419677734375))","(np.float64(984.17041015625), np.float64(1031.611328125))","(np.float64(1020.9950561523438), np.float64(1075.5108642578125))","(np.float64(982.1193237304688), np.float64(1061.72265625))","(np.float64(995.1157836914062), np.float64(1093.91650390625))"
7,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.7113037109375), np.float64(971.61474609375))","(np.float64(1061.12109375), np.float64(1035.357666015625))","(np.float64(998.4851684570312), np.float64(981.9736938476562))","(np.float64(1055.331298828125), np.float64(1049.4468994140625))","(np.float64(990.1038818359375), np.float64(1003.9384765625))","(np.float64(1039.236328125), np.float64(1063.6229248046875))","(np.float64(984.1763916015625), np.float64(1031.59130859375))","(np.float64(1021.0151977539062), np.float64(1075.5155029296875))","(np.float64(982.1198120117188), np.float64(1061.7083740234375))","(np.float64(995.135009765625), np.float64(1095.4483642578125))"
8,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.7063598632812), np.float64(971.58447265625))","(np.float64(1061.1689453125), np.float64(1035.3106689453125))","(np.float64(998.4642944335938), np.float64(981.9274291992188))","(np.float64(1055.3778076171875), np.float64(1049.4061279296875))","(np.float64(990.06591796875), np.float64(1003.9119873046875))","(np.float64(1039.298095703125), np.float64(1063.58837890625))","(np.float64(984.168701171875), np.float64(1031.5660400390625))","(np.float64(1021.0659790039062), np.float64(1075.484130859375))","(np.float64(982.1843872070312), np.float64(1061.511962890625))","(np.float64(995.1441650390625), np.float64(1095.435302734375))"
9,1,labels_v001_147_09_07_21_ Cage 4_ 1_Mated_sub3_299_330_analysis,"(np.float64(1008.648681640625), np.float64(971.54736328125))","(np.float64(1061.1395263671875), np.float64(1035.3463134765625))","(np.float64(998.4212646484375), np.float64(981.8750610351562))","(np.float64(1055.413818359375), np.float64(1049.456787109375))","(np.float64(990.052490234375), np.float64(1003.8350219726562))","(np.float64(1039.3720703125), np.float64(1063.6478271484375))","(np.float64(984.1004028320312), np.float64(1031.4886474609375))","(np.float64(1021.1455688476562), np.float64(1075.5621337890625))","(np.float64(982.1517944335938), np.float64(1061.4473876953125))","(np.float64(995.2784423828125), np.float64(1095.53515625))"
