frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
0,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(962.1918334960938), np.float64(977.0575561523438))","(np.float64(1039.681396484375), np.float64(1002.8590087890625))","(np.float64(952.031982421875), np.float64(988.9942016601562))","(np.float64(1047.36474609375), np.float64(1015.0994262695312))","(np.float64(945.9877319335938), np.float64(1011.1008911132812))","(np.float64(1051.43798828125), np.float64(1036.9840087890625))","(np.float64(951.98876953125), np.float64(1037.037841796875))","(np.float64(1053.386962890625), np.float64(1060.876953125))","(np.float64(963.98095703125), np.float64(1068.9874267578125))","(np.float64(1059.4246826171875), np.float64(1091.151123046875))"
1,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(961.5228881835938), np.float64(976.6934814453125))","(np.float64(1038.8267822265625), np.float64(1003.1691284179688))","(np.float64(951.3912353515625), np.float64(987.0947265625))","(np.float64(1045.005126953125), np.float64(1015.3898315429688))","(np.float64(943.747314453125), np.float64(1010.7203979492188))","(np.float64(1049.05126953125), np.float64(1037.37890625))","(np.float64(949.4351196289062), np.float64(1036.7093505859375))","(np.float64(1052.6256103515625), np.float64(1061.19677734375))","(np.float64(961.5950317382812), np.float64(1068.647216796875))","(np.float64(1058.49755859375), np.float64(1091.337158203125))"
2,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(961.5335083007812), np.float64(976.9111938476562))","(np.float64(1038.99658203125), np.float64(1003.0375366210938))","(np.float64(951.4442138671875), np.float64(988.8684692382812))","(np.float64(1045.1781005859375), np.float64(1015.2711791992188))","(np.float64(945.4119873046875), np.float64(1010.9671630859375))","(np.float64(1050.7169189453125), np.float64(1037.202880859375))","(np.float64(951.473876953125), np.float64(1036.9019775390625))","(np.float64(1052.79248046875), np.float64(1061.0711669921875))","(np.float64(961.7630615234375), np.float64(1068.8936767578125))","(np.float64(1058.7515869140625), np.float64(1091.1112060546875))"
3,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(962.0738525390625), np.float64(977.0166015625))","(np.float64(1039.7154541015625), np.float64(1002.5595703125))","(np.float64(951.9611206054688), np.float64(988.9552001953125))","(np.float64(1047.5330810546875), np.float64(1014.7700805664062))","(np.float64(945.896484375), np.float64(1011.0587158203125))","(np.float64(1051.598388671875), np.float64(1036.666015625))","(np.float64(951.8757934570312), np.float64(1037.0028076171875))","(np.float64(1055.5931396484375), np.float64(1060.4248046875))","(np.float64(963.7035522460938), np.float64(1069.0135498046875))","(np.float64(1059.90478515625), np.float64(1090.6260986328125))"
4,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(961.6397705078125), np.float64(977.1617431640625))","(np.float64(1039.468017578125), np.float64(1002.7904663085938))","(np.float64(951.532958984375), np.float64(989.1217651367188))","(np.float64(1045.75537109375), np.float64(1014.9732666015625))","(np.float64(945.5097045898438), np.float64(1011.2174072265625))","(np.float64(1049.8577880859375), np.float64(1036.9671630859375))","(np.float64(951.565185546875), np.float64(1037.1529541015625))","(np.float64(1053.4765625), np.float64(1060.8277587890625))","(np.float64(961.8297729492188), np.float64(1069.2005615234375))","(np.float64(1059.5633544921875), np.float64(1091.0205078125))"
5,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(961.4865112304688), np.float64(977.0958862304688))","(np.float64(1039.250732421875), np.float64(1003.1766357421875))","(np.float64(951.3932495117188), np.float64(989.0979614257812))","(np.float64(1045.5103759765625), np.float64(1015.3374633789062))","(np.float64(945.369384765625), np.float64(1011.13916015625))","(np.float64(1049.6099853515625), np.float64(1037.342529296875))","(np.float64(951.3872680664062), np.float64(1037.0645751953125))","(np.float64(1053.2928466796875), np.float64(1061.2030029296875))","(np.float64(961.5970458984375), np.float64(1069.1658935546875))","(np.float64(1059.3280029296875), np.float64(1091.26220703125))"
6,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(961.77001953125), np.float64(977.1173706054688))","(np.float64(1039.4324951171875), np.float64(1002.56298828125))","(np.float64(951.6770629882812), np.float64(989.1066284179688))","(np.float64(1045.69580078125), np.float64(1014.7477416992188))","(np.float64(945.6549072265625), np.float64(1011.1727294921875))","(np.float64(1049.8045654296875), np.float64(1036.713134765625))","(np.float64(951.7017211914062), np.float64(1037.1043701171875))","(np.float64(1053.4080810546875), np.float64(1060.5802001953125))","(np.float64(961.9009399414062), np.float64(1069.0958251953125))","(np.float64(1059.4622802734375), np.float64(1090.76123046875))"
7,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(961.8375244140625), np.float64(977.083740234375))","(np.float64(1039.57275390625), np.float64(1002.5367431640625))","(np.float64(951.7339477539062), np.float64(989.0206909179688))","(np.float64(1047.3826904296875), np.float64(1014.7528076171875))","(np.float64(945.6715698242188), np.float64(1011.1328735351562))","(np.float64(1051.41015625), np.float64(1036.626953125))","(np.float64(951.7244262695312), np.float64(1037.0810546875))","(np.float64(1055.5029296875), np.float64(1060.447265625))","(np.float64(961.9020385742188), np.float64(1069.2476806640625))","(np.float64(1059.6527099609375), np.float64(1090.643798828125))"
8,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(961.7055053710938), np.float64(977.280517578125))","(np.float64(1039.402099609375), np.float64(1002.966064453125))","(np.float64(951.576171875), np.float64(989.290771484375))","(np.float64(1045.6787109375), np.float64(1015.126220703125))","(np.float64(945.5660400390625), np.float64(1011.3206787109375))","(np.float64(1049.7408447265625), np.float64(1037.1239013671875))","(np.float64(951.5946044921875), np.float64(1037.260498046875))","(np.float64(1053.37646484375), np.float64(1060.98779296875))","(np.float64(961.7140502929688), np.float64(1069.4814453125))","(np.float64(1059.3482666015625), np.float64(1091.2177734375))"
9,1,labels_v001_152_09_07_21_ Cage 4_ 3_Mated_sub1_304_314_analysis,"(np.float64(961.5667114257812), np.float64(976.9318237304688))","(np.float64(1039.3023681640625), np.float64(1002.8949584960938))","(np.float64(951.4407348632812), np.float64(988.9686889648438))","(np.float64(1045.6134033203125), np.float64(1015.0966186523438))","(np.float64(945.4365234375), np.float64(1010.9917602539062))","(np.float64(1049.7017822265625), np.float64(1037.0745849609375))","(np.float64(951.4295043945312), np.float64(1036.90234375))","(np.float64(1053.3759765625), np.float64(1060.9163818359375))","(np.float64(961.557861328125), np.float64(1069.2081298828125))","(np.float64(1059.438232421875), np.float64(1091.1417236328125))"
