frame,condition,filename,thorax_mosquito1,thorax_mosquito2,abdo1_mosquito1,abdo1_mosquito2,abdo2_mosquito1,abdo2_mosquito2,abdo3_mosquito1,abdo3_mosquito2,abdo4_mosquito1,abdo4_mosquito2
10,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(717.4013671875), np.float64(955.668212890625))","(np.float64(790.4436645507812), np.float64(977.3125))","(np.float64(711.2742309570312), np.float64(966.055419921875))","(np.float64(794.3135986328125), np.float64(991.2223510742188))","(np.float64(713.062255859375), np.float64(990.3418579101562))","(np.float64(792.4324951171875), np.float64(1011.3369140625))","(np.float64(721.0534057617188), np.float64(1016.0652465820312))","(np.float64(788.27392578125), np.float64(1033.2393798828125))","(np.float64(733.3108520507812), np.float64(1039.96923828125))","(np.float64(784.2709350585938), np.float64(1061.087890625))"
11,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(717.7813720703125), np.float64(955.4514770507812))","(np.float64(791.1202392578125), np.float64(976.65576171875))","(np.float64(711.6771850585938), np.float64(965.94970703125))","(np.float64(795.0538330078125), np.float64(990.5850219726562))","(np.float64(713.508056640625), np.float64(990.2020263671875))","(np.float64(793.1981201171875), np.float64(1010.7940673828125))","(np.float64(723.318359375), np.float64(1015.8444213867188))","(np.float64(789.0235595703125), np.float64(1032.7525634765625))","(np.float64(733.7435913085938), np.float64(1038.2220458984375))","(np.float64(787.023193359375), np.float64(1060.670654296875))"
12,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(719.504150390625), np.float64(955.7368774414062))","(np.float64(791.9080200195312), np.float64(978.155517578125))","(np.float64(713.3236083984375), np.float64(966.1050415039062))","(np.float64(795.5835571289062), np.float64(992.316650390625))","(np.float64(713.670166015625), np.float64(990.3681640625))","(np.float64(791.88671875), np.float64(1013.9805297851562))","(np.float64(723.3740844726562), np.float64(1016.1259155273438))","(np.float64(787.6734619140625), np.float64(1036.039306640625))","(np.float64(735.3943481445312), np.float64(1038.3931884765625))","(np.float64(781.5860595703125), np.float64(1061.96875))"
13,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(719.4730834960938), np.float64(955.6969604492188))","(np.float64(792.5733642578125), np.float64(978.0112915039062))","(np.float64(711.815185546875), np.float64(966.0631713867188))","(np.float64(794.665771484375), np.float64(993.5934448242188))","(np.float64(713.5794677734375), np.float64(990.2542114257812))","(np.float64(790.8328247070312), np.float64(1013.8618774414062))","(np.float64(721.4899291992188), np.float64(1016.0496215820312))","(np.float64(784.7453002929688), np.float64(1035.7864990234375))","(np.float64(735.5049438476562), np.float64(1038.0733642578125))","(np.float64(780.6705932617188), np.float64(1061.777099609375))"
14,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(719.006591796875), np.float64(954.8815307617188))","(np.float64(790.8487548828125), np.float64(977.3206787109375))","(np.float64(711.3387451171875), np.float64(965.8442993164062))","(np.float64(793.0572509765625), np.float64(991.223388671875))","(np.float64(713.100830078125), np.float64(990.1117553710938))","(np.float64(790.6651611328125), np.float64(1011.2952270507812))","(np.float64(721.0286865234375), np.float64(1015.9152221679688))","(np.float64(784.6761474609375), np.float64(1033.1141357421875))","(np.float64(734.9512329101562), np.float64(1037.8839111328125))","(np.float64(778.974853515625), np.float64(1059.240234375))"
15,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(719.0615234375), np.float64(955.0663452148438))","(np.float64(790.73828125), np.float64(977.2099609375))","(np.float64(711.4215698242188), np.float64(965.5203247070312))","(np.float64(792.987060546875), np.float64(991.0681762695312))","(np.float64(713.1387939453125), np.float64(989.6324462890625))","(np.float64(790.6643676757812), np.float64(1011.0953369140625))","(np.float64(721.176025390625), np.float64(1015.3798217773438))","(np.float64(784.690185546875), np.float64(1032.9564208984375))","(np.float64(735.028076171875), np.float64(1037.5333251953125))","(np.float64(779.0629272460938), np.float64(1059.160888671875))"
16,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(719.1970825195312), np.float64(955.3394165039062))","(np.float64(790.9583740234375), np.float64(977.8981323242188))","(np.float64(713.018310546875), np.float64(965.8319702148438))","(np.float64(793.20654296875), np.float64(991.7355346679688))","(np.float64(713.215576171875), np.float64(990.023681640625))","(np.float64(790.8838500976562), np.float64(1011.7533569335938))","(np.float64(723.1025390625), np.float64(1015.65673828125))","(np.float64(784.7742919921875), np.float64(1033.5076904296875))","(np.float64(735.469482421875), np.float64(1037.7828369140625))","(np.float64(779.043212890625), np.float64(1059.6082763671875))"
17,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(719.6138305664062), np.float64(956.0014038085938))","(np.float64(791.0792846679688), np.float64(976.8917236328125))","(np.float64(713.4397583007812), np.float64(966.3428955078125))","(np.float64(793.33837890625), np.float64(990.8052978515625))","(np.float64(713.7206420898438), np.float64(990.6797485351562))","(np.float64(790.98193359375), np.float64(1010.8723754882812))","(np.float64(723.5889892578125), np.float64(1016.3665771484375))","(np.float64(784.8961181640625), np.float64(1032.5494384765625))","(np.float64(737.4386596679688), np.float64(1036.6971435546875))","(np.float64(778.9428100585938), np.float64(1056.816162109375))"
18,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(719.4784545898438), np.float64(955.15478515625))","(np.float64(791.2823486328125), np.float64(976.2796630859375))","(np.float64(711.927490234375), np.float64(965.6920166015625))","(np.float64(793.7018432617188), np.float64(990.1930541992188))","(np.float64(713.708984375), np.float64(989.7648315429688))","(np.float64(791.4389038085938), np.float64(1010.3892211914062))","(np.float64(723.6036987304688), np.float64(1015.42919921875))","(np.float64(787.3737182617188), np.float64(1032.292724609375))","(np.float64(735.645751953125), np.float64(1037.6280517578125))","(np.float64(781.2753295898438), np.float64(1058.1900634765625))"
19,0,labels_v001_061_08_20_21_ Set 1_ Cage A_ 3_Virgin_sub2_485_615_analysis,"(np.float64(717.612548828125), np.float64(955.3310546875))","(np.float64(792.8557739257812), np.float64(977.1486206054688))","(np.float64(711.4072265625), np.float64(965.8364868164062))","(np.float64(795.0250244140625), np.float64(992.6273193359375))","(np.float64(713.390869140625), np.float64(989.9231567382812))","(np.float64(792.7234497070312), np.float64(1011.060546875))","(np.float64(723.3204956054688), np.float64(1015.6299438476562))","(np.float64(784.88623046875), np.float64(1032.7799072265625))","(np.float64(733.5341796875), np.float64(1039.7802734375))","(np.float64(778.942626953125), np.float64(1055.11669921875))"
