Observation id	08.19.21_ Set 1_ Cage B_ 1_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.19.21/Set 1/Cage B/1.mp4							
								
Observation date	2021-10-15 11:49:00							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
100.453	/Volumes/LaCie/08.19.21/Set 1/Cage B/1.mp4	527.900	30.0	female	genital contact			START
117.257	/Volumes/LaCie/08.19.21/Set 1/Cage B/1.mp4	527.900	30.0	female	genital contact			STOP
362.055	/Volumes/LaCie/08.19.21/Set 1/Cage B/1.mp4	527.900	30.0	female	genital contact			START
375.553	/Volumes/LaCie/08.19.21/Set 1/Cage B/1.mp4	527.900	30.0	female	genital contact			STOP
