Observation id	09.14.21_ Cage Tsom_ 3_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4							
								
Observation date	2022-04-28 15:23:24							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
243.959	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	mating			START
256.214	/Volumes/LaCie/09.14.21/Cage Tsom/3.mp4	505.000	30.0	female	mating			STOP
