Observation id	09.07.21_ Cage 3_ 6_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.07.21/Cage 3/6.mp4							
								
Observation date	2022-01-06 18:06:07							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
404.631	/Volumes/LaCie/09.07.21/Cage 3/6.mp4	516.770	30.0	female	mating			START
415.885	/Volumes/LaCie/09.07.21/Cage 3/6.mp4	516.770	30.0	female	mating			STOP
